cm, PROPN 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
119, NUM 
1996, NUM 
30, NUM 
41, NUM 

, SPACE 
ELSEVlER, PROPN 
Beam, PROPN 
Inteactloes, VERB 

, SPACE 
Materials, NOUN 
Atoms, NOUN 

, SPACE 
role, NOUN 
classical, ADJ 
quantum, NOUN 
notions, NOUN 
channeling, VERB 

, SPACE 
development, NOUN 
fast, ADJ 
positrons, NOUN 
solid, ADJ 
state, NOUN 
probe, NOUN 

, SPACE 
valence, NOUN 
electron, NOUN 
spin, NOUN 
densities, NOUN 

, SPACE 
Lene, PROPN 
Vestergaard, PROPN 
Hau, PROPN 
a7c, PROPN 
J.A., PROPN 
Golovchenko, PROPN 
a*c, PROPN 
R., PROPN 
Haakenaasen, PROPN 
b*d, NOUN 
A.W., PROPN 
Hunt, PROPN 

, SPACE 
J.P., PROPN 
Peng, PROPN 
d, PROPN 
P., PROPN 
Asoka-&mar, PROPN 
d, PROPN 
KG, PROPN 
Lynn, PROPN 
d, PROPN 
M., PROPN 
Weinert, PROPN 
d, PROPN 
J.C., PROPN 
Palathingal, PROPN 
e, NOUN 

, SPACE 
Rowland, PROPN 
Institute, PROPN 
Science, PROPN 
Edwin, PROPN 
H., PROPN 
Lund, PROPN 
Boulevard, PROPN 
Cambridge, PROPN 
MA, PROPN 
OZI42, PROPN 
USA, PROPN 

, SPACE 
b, PROPN 
Department, PROPN 
Physics, PROPN 
Universiry, PROPN 
Oslo, PROPN 
Oslo, PROPN 
Norway, PROPN 

, SPACE 
Department, PROPN 
Physics, PROPN 
Harvard, PROPN 
University, PROPN 
Cambridge, PROPN 
MA, PROPN 
02138, NUM 
USA, PROPN 

, SPACE 
d, PROPN 
Department, PROPN 
Physics, PROPN 
Brookhaven, PROPN 
Nutional, PROPN 
Laboratory, PROPN 
Upton, PROPN 
NY, PROPN 
11973, NUM 
USA, PROPN 

, SPACE 
Department, PROPN 
Physics, PROPN 
University, PROPN 
Puerto, PROPN 
Rico, PROPN 
Mayogue, PROPN 
Puerto, PROPN 
Rico, PROPN 
00680, NUM 

, SPACE 
Received, VERB 
24, NUM 
November, PROPN 
199.5, NUM 
revised, VERB 
form, NOUN 
received, VERB 
3, NUM 
April, PROPN 
1996, NUM 

, SPACE 
Abstract, ADJ 

, SPACE 
subtleties, NOUN 
interplay, NOUN 
classical, ADJ 
quantum, NOUN 
pictures, NOUN 
revealed, VERB 
particularly, ADV 
clearly, ADV 
connection, NOUN 

, SPACE 
effect, NOUN 
channeling, VERB 
role, NOUN 
interplay, NOUN 
described, VERB 
related, VERB 
new, ADJ 
probe, NOUN 
valence, NOUN 
electron, NOUN 
spin, VERB 

, SPACE 
magnetic, ADJ 
densities, NOUN 
thin, ADJ 
films, NOUN 
based, VERB 
photon, NOUN 
annihilation, NOUN 
flight, NOUN 
channeled, ADJ 
MeV, PROPN 
positrons, NOUN 

, SPACE 
channeling, VERB 
effect, NOUN 
steer, VERB 
positrons, NOUN 
interstices, NOUN 
crystal, NOUN 
valence, NOUN 
electron, NOUN 
density, NOUN 
high, ADJ 

, SPACE 
Transmission, NOUN 
measurements, NOUN 
performed, VERB 
test, VERB 
quantitative, ADJ 
understanding, NOUN 
spatial, NOUN 
momentum, NOUN 

, SPACE 
distribution, NOUN 
channeled, VERB 
positrons, NOUN 
calculate, VERB 
annihilation, NOUN 
rates, NOUN 
gold, NOUN 
crystal, NOUN 
probe, NOUN 
highly, ADV 

, SPACE 
sensitive, ADJ 
valence, NOUN 
electrons, NOUN 
Channeling, VERB 
states, NOUN 
iron, NOUN 
shown, VERB 
sensitive, ADJ 
different, ADJ 
regions, NOUN 
spin, NOUN 
magnetic, ADJ 

, SPACE 
density, NOUN 
polarized, VERB 
beam, NOUN 
MeV, PROPN 
positrons, NOUN 
possibility, NOUN 
selective, ADJ 
state, NOUN 
population, NOUN 
spatial, ADJ 

, SPACE 
distribution, NOUN 
magnetization, NOUN 
density, NOUN 
probed, VERB 

, SPACE 
1, X 
Introduction, NOUN 
channeling, VERB 

, SPACE 
recent, ADJ 
years, NOUN 
significant, ADJ 
interest, NOUN 
studies, NOUN 

, SPACE 
fundamental, ADJ 
quantum, NOUN 
effects, NOUN 
created, VERB 
desire, NOUN 
con-, NOUN 

, SPACE 
structing, VERB 
wave, NOUN 
guides, NOUN 
de, X 
Broglie, PROPN 
matter, NOUN 
waves, NOUN 
l-4, PROPN 

, SPACE 
guides, NOUN 
act, VERB 
transport, NOUN 
