Pergamon, PROPN 

, SPACE 
PII, PROPN 
S0025, PROPN 
-326X(96)00034, NOUN 
-3, PUNCT 
Mar, PROPN 
~, PROPN 
Je, PROPN 
Pollution, PROPN 
Bulletin, PROPN 
Vol, PROPN 
32, NUM 
10, NUM 
pp, PROPN 
734, NUM 
739, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
©, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0025, NUM 
326X/96, NUM 
$, SYM 
15.00, NUM 
+, NUM 
0.00, NUM 

, SPACE 
Distribution, PROPN 
Origin, PROPN 

, SPACE 
Hydrocarbons, PROPN 
Sediments, NOUN 

, SPACE 
Lagoons, NOUN 
Fringing, VERB 
Mangrove, PROPN 

, SPACE 
Communities, PROPN 

, SPACE 
D., PROPN 
BERNARD, PROPN 
H., PROPN 
PASCALINE, PROPN 
J.-J., NOUN 
JEREMIE, PROPN 

, SPACE 
Laboratoire, PROPN 
de, X 
Gdochirnie, PROPN 
Facultd, PROPN 
des, PROPN 
Sciences, PROPN 
Exactes, PROPN 
et, NOUN 
Naturelles, PROPN 
Universitd, PROPN 
des, PROPN 
Antilles, PROPN 
et, PROPN 
de, PROPN 
la, PROPN 
Guyane, PROPN 

, SPACE 
B.P., PROPN 
250, NUM 
F-97157, PROPN 
Pointe, PROPN 
d, PROPN 
Pitre, PROPN 
Cedex, PROPN 
Guadeloupe, PROPN 
French, ADJ 
West, PROPN 
Indies, PROPN 

, SPACE 
distribution, NOUN 
origin, NOUN 
non, ADJ 
aromatic, ADJ 
hydrocarbons, NOUN 

, SPACE 
NAH, PROPN 
polycyclic, PROPN 
aromatic, ADJ 
hydrocarbons, NOUN 
PAIl, PROPN 

, SPACE 
investigated, VERB 
surface, NOUN 
sediments, NOUN 
lagoons, NOUN 

, SPACE 
Grand, PROPN 
Cul, PROPN 
de, NOUN 
Sac, PROPN 
Matin, PROPN 
Petit, PROPN 
Cul, PROPN 
de, NOUN 
Sac, PROPN 
Matin, PROPN 

, SPACE 
Caribbean, ADJ 
island, NOUN 
Guadeloupe, PROPN 
61, NUM 
°, NUM 
30'W, NUM 
16, NUM 
°, NUM 
N, PROPN 

, SPACE 
surrounded, VERB 
mangrove, NOUN 
ecosystem, NOUN 
Hydro-, X 

, SPACE 
carbons, NOUN 
extracted, VERB 
sediments, NOUN 
fractioned, VERB 

, SPACE 
chromatography, NOUN 
adsorption, NOUN 
analysed, VERB 
gas, NOUN 
chroma-, NOUN 

, SPACE 
tography, NOUN 
NAIl, NOUN 
concentrations, NOUN 
ranged, VERB 
28.2, NUM 
4104.4, NUM 

, SPACE 
lag, NOUN 
g-1, NUM 
dry, ADJ 
sediment, NOUN 
103, NUM 
1656.5, NUM 
ng, PROPN 
g, PROPN 
t, NOUN 

, SPACE 
PAIl, PROPN 
founded, VERB 
naturally, ADV 
occurring, VERB 
hydrocarbons, NOUN 

, SPACE 
predominated, VERB 
coastline, NOUN 
harbour, NOUN 
zone, NOUN 

, SPACE 
sediment, NOUN 
polluted, VERB 
petroleum, NOUN 
hydrocarbons, NOUN 
PAHs, NOUN 

, SPACE 
sediments, NOUN 
medium, ADJ 
high, ADJ 
molecular, ADJ 
weight, NOUN 
residues, NOUN 

, SPACE 
pyrolytic, ADJ 
origin, NOUN 
Copyright, NOUN 
©, NOUN 
1996, NUM 
Elsevier, ADJ 

, SPACE 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Caribbean, ADJ 
island, NOUN 
Guadeloupe, PROPN 
61, NUM 
°, NUM 
30"W, NUM 
16, NUM 
°, NUM 
N, PROPN 

, SPACE 
rapidly, ADV 
developing, VERB 
society, NOUN 
strong, ADJ 
industrial, ADJ 

, SPACE 
agricultural, ADJ 
sectors, NOUN 
lagoons, NOUN 
Grand, PROPN 

, SPACE 
Cul, PROPN 
de, NOUN 
Sac, PROPN 
Marin, PROPN 
GCSM, PROPN 
north, NOUN 
Petit, PROPN 

, SPACE 
Cul, PROPN 
de, NOUN 
Sac, PROPN 
Marin, PROPN 
PCSM, PROPN 
South, PROPN 
Fig, PROPN 
1, NUM 
lie, VERB 

, SPACE 
sides, NOUN 
island, NOUN 
major, ADJ 
urban, ADJ 
centre, NOUN 
Pointe-/L-, PROPN 

, SPACE 
Pitre, PROPN 
half, NOUN 
population, NOUN 
island, NOUN 
lives, VERB 

, SPACE 
lagoons, NOUN 
connected, VERB 
narrow, ADJ 
channel, NOUN 

, SPACE 
running, VERB 
south, NOUN 
north, NOUN 
Rivirre, PROPN 
Salre, PROPN 
assess, VERB 

, SPACE 
anthropogenic, ADJ 
influence, NOUN 
coastal, ADJ 
zones, NOUN 
concentra-, NUM 

, SPACE 
tions, NOUN 
aromatic, ADJ 
non, ADJ 
aromatic, ADJ 
hydrocarbons, NOUN 

, SPACE 
PAH, PROPN 
NAH, PROPN 
respectively, ADV 
n, NOUN 
Cl0, NOUN 
n, PROPN 
C35, PROPN 

, SPACE 
measured, VERB 
sediments, NOUN 
lagoons, NOUN 

, SPACE 
PCSM, PROPN 
primarily, ADV 
receives, VERB 
sewage, NOUN 
wastewater, NOUN 

, SPACE 
local, ADJ 
industries, NOUN 
shipping, NOUN 
traffic, NOUN 
GCSM, PROPN 
receives, VERB 

, SPACE 
freshwater, NOUN 
intensively, ADV 
cultivated, VERB 
agricultural, ADJ 

, SPACE 
zone, NOUN 
drained, VERB 
Grande, PROPN 
Rivirre, PROPN 
~, PUNCT 
Goyaves, NOUN 

, SPACE 
GRG, PROPN 
sediment, NOUN 
samples, NOUN 
collected, VERB 

, SPACE 
lagoons, NOUN 
mouth, NOUN 
GRG, PROPN 
river, NOUN 
west, ADJ 

, SPACE 
GCSM, PROPN 
east, ADJ 
GCSM, PROPN 

, SPACE 
PCSM, PROPN 
0aarbour, SYM 
zone, NOUN 
indicated, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
Materials, NOUN 
Methods, PROPN 

, SPACE 
Thirteen, PROPN 
surface, NOUN 
samples, NOUN 
collected, VERB 
divers, NOUN 

, SPACE 
PVC, ADJ 
hand, NOUN 
held, VERB 
corer, NOUN 
10, NUM 
cm, NOUN 
internal, ADJ 
diameter, NOUN 

, SPACE 
70, NUM 
cm, NOUN 
length, NOUN 
sampling, VERB 
periods, NOUN 
February, PROPN 

, SPACE 
December, PROPN 
1993, NUM 
hours, NOUN 
cores, NOUN 

, SPACE 
extruded, VERB 
3, NUM 
5, NUM 
cm, NOUN 
frozen, VERB 

, SPACE 
analysis, NOUN 
freeze, NOUN 
drying, NOUN 
sediments, NOUN 
forced, VERB 

, SPACE 
200, NUM 
~m, PUNCT 
sieve, ADV 
discard, VERB 
organic, ADJ 
detritus, NOUN 

, SPACE 
basic, ADJ 
classification, NOUN 
purposes, NOUN 
texture, NOUN 
organic, ADJ 

, SPACE 
carbon, NOUN 
content, NOUN 
OC, PROPN 
sediments, NOUN 
deter-, X 

, SPACE 
mined, VERB 
wet, ADJ 
sieving, NOUN 
AFNOR, PROPN 
1983, NUM 
wet, ADJ 

, SPACE 
sulphochromic, ADJ 
oxidization, NOUN 
AFNOR, PROPN 
1985, NUM 

, SPACE 
Hydrocarbons, NOUN 
extracted, VERB 
soxhlet, ADJ 
apparatus, NOUN 

, SPACE 
mixture, NOUN 
hexane, NOUN 
dichloromethane, NOUN 
1:1, NUM 
v, NOUN 
v, NOUN 

, SPACE 
Aliquots, NOUN 
20, NUM 
g, NOUN 
treated, VERB 
200, NUM 
ml, NOUN 

, SPACE 
solvent, NOUN 
known, ADJ 
n, ADV 
Cls, NOUN 
l, NOUN 
spiked, VERB 

, SPACE 
internal, ADJ 
standard, NOUN 
soxhlet, ADJ 
extraction, NOUN 

, SPACE 
procedure, NOUN 
typically, ADV 
gives, VERB 
recoveries, NOUN 
hydrocarbons, NOUN 

, SPACE 
range, NOUN 
70, NUM 
100, NUM 
Bernard, PROPN 
1994, NUM 
NAH, PROPN 

, SPACE 
PAH, PROPN 
fractions, NOUN 
isolated, VERB 
adsorption, NOUN 
chromato-, PRON 

, SPACE 
graphy, NOUN 
Silica, PROPN 
Alumina, PROPN 
Organic, ADJ 
solvents, NOUN 

, SPACE 
sodium, NOUN 
sulphate, NOUN 
Silica, PROPN 
Silica, PROPN 
gel, PROPN 
60, NUM 
Alumina, PROPN 

, SPACE 
Aluminium, PROPN 
Oxide, PROPN 
90, NUM 
MERCK, PROPN 
quality, NOUN 

, SPACE 
residue, ADJ 
analysis, NOUN 
fractions, NOUN 
analysed, VERB 
gas, NOUN 

, SPACE 
chromatography, NOUN 
Chromatograms, NOUN 
obtained, VERB 

, SPACE 
Hewlett, PROPN 
Packard, PROPN 
5890A, PROPN 
Gas, PROPN 
Chromatograph, PROPN 
including, VERB 

, SPACE 
flame, ADJ 
ionization, NOUN 
detector, NOUN 
GC, PROPN 
FID, PROPN 
column, NOUN 

, SPACE 
injector, NOUN 
fused, VERB 
capillary, NOUN 
column, NOUN 
25, NUM 
m, NOUN 
long, ADJ 
0.32, NUM 

, SPACE 
mm, PROPN 
internal, ADJ 
diameter, NOUN 
coated, VERB 
methyl, NOUN 
silicone, NOUN 
0.52, NUM 

, SPACE 
~tm, PUNCT 
thick, ADJ 
temperature, NOUN 
rose, VERB 
60, NUM 
105, NUM 
°, NUM 
C, NOUN 

, SPACE 
rate, NOUN 
15, NUM 
°, NUM 
C, NOUN 
rain, NOUN 
-1, PROPN 
105, NUM 
295, NUM 
°, NOUN 
C, NOUN 
rate, NOUN 

, SPACE 
4, NUM 
°, NUM 
C, NOUN 
min-, ADV 
1, NUM 
injector, NOUN 
detector, NOUN 
temperatures, NOUN 

, SPACE 
