Original, ADJ 
Length, PROPN 
Article, NOUN 

, SPACE 
Circulating, PROPN 
interleukin-8, PART 
levels, NOUN 
explain, VERB 
breast, NOUN 
cancer, NOUN 
osteolysis, NOUN 
mice, NOUN 

, SPACE 
humans, NOUN 

, SPACE 
Archana, PROPN 
Kamalakara, PROPN 
Manali, PROPN 
S., PROPN 
Bendrea, PROPN 
Charity, PROPN 
L., PROPN 
Washama, PROPN 
Tristan, PROPN 
W., PROPN 
Fowlera, PROPN 
b, PROPN 
Adam, PROPN 
Carvera, PROPN 

, SPACE 
Joshua, PROPN 
D., PROPN 
Dilleya, PROPN 
John, PROPN 
W., PROPN 
Braceya, PROPN 
Nisreen, PROPN 
S., PROPN 
Akelb, PROPN 
Aaron, PROPN 
G., PROPN 
Marguliesc, PROPN 
Robert, PROPN 
A., PROPN 
Skinnera, PROPN 
Frances, PROPN 
L., PROPN 
Swaina, PROPN 

, SPACE 
William, PROPN 
R., PROPN 
Hoguea, PROPN 
Corey, PROPN 
O., PROPN 
Montgomerya, PROPN 
Parshawn, PROPN 
Lahijid, PROPN 
J, PROPN 
c, PROPN 
q, PROPN 
u, PROPN 
e, PROPN 
l, PROPN 
n, VERB 
eJ, NUM 
.M, NOUN 
h, PROPN 
e, NOUN 
rd, NOUN 
Kim, PROPN 
E., PROPN 
Leitzele, PROPN 

, SPACE 
Suhail, PROPN 
M., PROPN 
Alie, PROPN 
Alan, PROPN 
Liptone, PROPN 
Richard, PROPN 
W., PROPN 
Nicholasa, PROPN 
Dana, PROPN 
Gaddya, PROPN 
b, PROPN 
Larry, PROPN 
J., PROPN 
Suvaa, PROPN 
b,⁎, NOUN 

, SPACE 
aDepartment, PROPN 
Orthopaedic, PROPN 
Surgery, PROPN 
Center, PROPN 
Orthopaedic, PROPN 
Research, PROPN 
Winthrop, PROPN 
P., PROPN 
Rockefeller, PROPN 
Cancer, PROPN 
Institute, PROPN 
University, PROPN 
Arkansas, PROPN 
Medical, PROPN 
Sciences, PROPN 
Little, PROPN 
Rock, PROPN 
AR, PROPN 
USA, PROPN 

, SPACE 
bDepartment, PROPN 
Physiology, PROPN 
Biophysics, PROPN 
University, PROPN 
Arkansas, PROPN 
Medical, PROPN 
Sciences, PROPN 
Little, PROPN 
Rock, PROPN 
AR, PROPN 
USA, PROPN 

, SPACE 
cKnoxville, PROPN 
Comprehensive, PROPN 
Breast, PROPN 
Center, PROPN 
Knoxville, PROPN 
TN, PROPN 
USA, PROPN 

, SPACE 
dDivision, PROPN 
Gastroenterology, PROPN 
San, PROPN 
Francisco, PROPN 
General, PROPN 
Hospital, PROPN 
University, PROPN 
California, PROPN 
San, PROPN 
Francisco, PROPN 
Liver, PROPN 
Center, PROPN 
San, PROPN 
