ELSEVIER, PROPN 
October, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
28, NUM 
1996, NUM 
489, NUM 
490, NUM 

, SPACE 
Photoluminescence, PROPN 
spectra, NOUN 
CaFCl, NUM 
Eu2, ADJ 
+, ADJ 
powder, NOUN 
phosphors, NOUN 

, SPACE 
K., PROPN 
Rajamohan, PROPN 
Reddy, PROPN 
K., PROPN 
Annapurna, PROPN 
S., PROPN 
Buddhudu, PROPN 

, SPACE 
Department, PROPN 
Physics, PROPN 
Sri, PROPN 
Venkateswara, PROPN 
University, PROPN 
Tirupati, PROPN 
517, NUM 
502, NUM 
India, PROPN 

, SPACE 
Received, VERB 
1, NUM 
March, PROPN 
1996, NUM 
revised, VERB 
16, NUM 
April, PROPN 
1996, NUM 
accepted, VERB 
20, NUM 
April, PROPN 
1996, NUM 

, SPACE 
Abstract, ADJ 

, SPACE 
short, ADJ 
communication, NOUN 
summarises, VERB 
effects, NOUN 
dopant, ADJ 
ion, NOUN 
concentration, NOUN 
photoluminescence, NOUN 
efficiency, NOUN 

, SPACE 
CaFCl, NOUN 
Eu*+, PROPN 
powder, NOUN 
phosphors, NOUN 
phosphors, NOUN 
displayed, VERB 
fluorescent, ADJ 
transition, NOUN 
4f6(‘FJ>5d, NUM 
-+, PUNCT 
4f, NUM 
395, NUM 

, SPACE 
nm, NOUN 
excitation, NOUN 
UV, NOUN 
source, NOUN 
280, NUM 
nm, NOUN 
Measured, VERB 
XRD, PROPN 
spectra, NOUN 
confirm, VERB 
presence, NOUN 
Eu2, NOUN 
+, VERB 
synthesized, ADJ 

, SPACE 
powder, NOUN 
phosphors, NOUN 

, SPACE 
Ke, PROPN 
>, NOUN 
lwords, NOUN 
X, NOUN 
ray, NOUN 
imaging, NOUN 
phosphors, NOUN 
Fluorescence, PROPN 
CaFCl, X 
Doped, PROPN 
Eu2, X 
+, ADJ 
ions, NOUN 

, SPACE 
past, ADJ 
years, NOUN 
develop-, ADV 

, SPACE 
ing, NOUN 
characterising, VERB 
powder, NOUN 
phosphors, NOUN 

, SPACE 
doped, VERB 
certain, ADJ 
appropriate, ADJ 
quantities, NOUN 
suitable, ADJ 

, SPACE 
fluorescing, VERB 
3, NUM 
+, NUM 
ions, NOUN 
observing, VERB 
primary, ADJ 

, SPACE 
B, PROPN 
G, NOUN 
R, NOUN 
colours, NOUN 
excitation, NOUN 

, SPACE 
electron, NOUN 
beam, NOUN 
UV, NOUN 
source, NOUN 
S, PROPN 
Hosoi, NOUN 
et, NOUN 
al, PROPN 
9, X 

, SPACE 
Meijerink, PROPN 
et, PROPN 
al, PROPN 
lo, X 
reported, VERB 

, SPACE 
MFX, PROPN 
Eu*+, PROPN 
M, PROPN 
=, PUNCT 
Ba, PROPN 
Sr, PROPN 
X, PROPN 
=, PROPN 
Cl, PROPN 
Br, PROPN 
>, X 
powder, NOUN 

, SPACE 
phosphors, NOUN 
exhibit, VERB 
high, ADJ 
efficiency, NOUN 
