cm, PROPN 
ELSEVIER, NOUN 
September, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
28, NUM 
1996, NUM 
71, NUM 
75, NUM 

, SPACE 
Influence, PROPN 
solidification, NOUN 
flattening, NOUN 
droplets, NOUN 

, SPACE 
thermal, ADJ 
spraying, VERB 

, SPACE 
V.V., PROPN 
Sobolev, PROPN 
J.M., PROPN 
Guilemany, PROPN 

, SPACE 
Metalurgia, PROPN 
Fisica, PROPN 
Ciencia, PROPN 
de, ADP 
Materiales, PROPN 
Departamento, PROPN 
de, PROPN 
lngenieria, PROPN 
Quimica, PROPN 
y, PROPN 
Metalurgia, PROPN 
Uniuersidad, PROPN 
de, PROPN 
Barcelona, PROPN 
Marti, PROPN 
Franque, PROPN 

, SPACE 
1, NUM 
08028, NUM 
Barcelona, PROPN 
Spain, PROPN 

, SPACE 
Received, VERB 
11, NUM 
July, PROPN 
1995, NUM 
revised, VERB 
18, NUM 
December, PROPN 
1995, NUM 
accepted, VERB 
2, NUM 
January, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
analytical, ADJ 
formulae, NOUN 
describing, VERB 
time, NOUN 
evolution, NOUN 
final, ADJ 
values, NOUN 
splat, ADJ 
thickness, NOUN 
radius, NOUN 

, SPACE 
rates, NOUN 
variation, NOUN 
process, NOUN 
flattening, NOUN 
droplets, NOUN 
thermal, ADJ 
spraying, NOUN 
obtained, VERB 
account, NOUN 

, SPACE 
solidification, NOUN 
splat, ADJ 
mass, ADJ 
loss, NOUN 
impinging, VERB 
droplet, NOUN 
theoretical, ADJ 
results, NOUN 
obtained, VERB 
agree, VERB 

, SPACE 
experimental, ADJ 
data, NOUN 
prediction, NOUN 
splat, ADJ 
flattening, NOUN 
parameters, NOUN 

, SPACE 
Keywords, NOUN 
Solidification, NOUN 
Flattening, PROPN 
Droplets, NOUN 
Thermal, NOUN 
spraying, VERB 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
Flattening, PROPN 
thermally, ADV 
sprayed, VERB 
powder, NOUN 
particles, NOUN 

, SPACE 
significantly, ADV 
influences, VERB 
coating, NOUN 
structure, NOUN 

, SPACE 
quality, NOUN 
l-3, PROPN 
Usually, ADV 
characteristic, ADJ 
time, NOUN 
flat-, ADJ 

, SPACE 
tening, NOUN 
t, PROPN 
thermal, ADJ 
spraying, NOUN 
considered, VERB 

, SPACE 
smaller, ADJ 
splat, ADJ 
solidification, NOUN 
t, NOUN 

, SPACE 
process, NOUN 
