ELSEVIER, NOUN 
September, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
28, NUM 
1996, NUM 
161, NUM 
164, NUM 

, SPACE 
Preparation, PROPN 
mechanical, ADJ 
properties, NOUN 
long, ADJ 
alumina, PROPN 

, SPACE 
fiber, NOUN 
alumina, PROPN 
matrix, NOUN 
composites, NOUN 

, SPACE 
Yoshitaka, PROPN 
Kamino, PROPN 
Yoshihiro, PROPN 
Hirata, PROPN 
Satsuo, PROPN 
Kamata, PROPN 
b, PROPN 

, SPACE 
Kagoshima, PROPN 
Prefectural, PROPN 
Institute, PROPN 
industrial, PROPN 
Technology, PROPN 
1445, NUM 
Oda, PROPN 
Hayato, PROPN 
rho, PROPN 
Aira, PROPN 
gun, PROPN 
Kagoshima, PROPN 
899, NUM 
51, NUM 
.lapan, PROPN 

, SPACE 
b, PROPN 
Department, PROPN 
Applied, PROPN 
Chemistv, PROPN 
Chemical, PROPN 
Engineering, PROPN 
Faculty, PROPN 
Engineering, PROPN 
Kagoshima, PROPN 
University, PROPN 
l-21, PROPN 
40, NUM 
Korimoto, PROPN 

, SPACE 
Kagoshima, PROPN 
890, NUM 
Japan, PROPN 

, SPACE 
Received, VERB 
18, NUM 
December, PROPN 
1995, NUM 
revised, VERB 
15, NUM 
January, PROPN 
1996, NUM 
accepted, VERB 
18, NUM 
January, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Alumina, PROPN 
long, ADJ 
fiber, NOUN 
22, NUM 
vol%)/alumina, NOUN 
matrix, NOUN 
composites, NOUN 
formed, VERB 
infiltration, NOUN 
aqueous, ADJ 
alumina, PROPN 
suspensions, NOUN 

, SPACE 
alumina, PROPN 
fiber, NOUN 
sheets, NOUN 
sintered, VERB 
air, NOUN 
vacuum, NOUN 
lOOO-1400, NOUN 
°, NOUN 
C, NOUN 
fracture, ADJ 
behaviour, NOUN 
strength, NOUN 

, SPACE 
composites, NOUN 
interpreted, VERB 
relation, NOUN 
following, VERB 
factors, NOUN 
strength, NOUN 
alumina, PROPN 
matrix, NOUN 
sintering, VERB 
alumina, PROPN 

, SPACE 
fibers, NOUN 
matrix, NOUN 
interfaces, NOUN 
coating, VERB 
effect, NOUN 
inert, ADJ 
material, NOUN 
surface, NOUN 
alumina, PROPN 
fibers, NOUN 
degree, NOUN 
adhesion, NOUN 

, SPACE 
interfaces, NOUN 

, SPACE 
Keywords, NOUN 
Composites, PROPN 
Alumina, PROPN 
AI,03, PROPN 
fibers, NOUN 
Al, PROPN 
O, PROPN 
matrix, NOUN 
AI, PROPN 
O, PROPN 
sheets, NOUN 
Flexural, ADJ 
strength, NOUN 
Ceramic, ADJ 
ceramic, ADJ 
composites, NOUN 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
Continuous, ADJ 
fiber, NOUN 
reinforced, VERB 
ceramic, ADJ 
matrix, NOUN 
com-, NOUN 

, SPACE 
posites, NOUN 
intensively, ADV 
studied, VERB 
recent, ADJ 
years, NOUN 

, SPACE 
achieve, VERB 
high, ADJ 
reliability, NOUN 
based, VERB 
high, ADJ 

, SPACE 
toughness, NOUN 
ductility, NOUN 
high, ADJ 
temperatures, NOUN 

, SPACE 
kinds, NOUN 
long, ADJ 
fibers, NOUN 
Si, PROPN 
C, NOUN 
O, NOUN 
Si, PROPN 
Ti-, PROPN 

, SPACE 
C, NOUN 
O, NOUN 
fibers, NOUN 
incorporated, ADJ 
lithium, NOUN 
alumi-, ADJ 

, SPACE 
nate, ADJ 
glass, NOUN 
1,2, NUM 
mullite, PROPN 
3, X 
silicon, NOUN 
carbide, PROPN 
4, NUM 
81, NUM 

, SPACE 
silicon, NOUN 
nitride, NOUN 
matrix, NOUN 
9, NUM 
l, NOUN 
11, NUM 
ceramic, ADJ 
matrix, NOUN 

, SPACE 
composites, NOUN 
non, ADJ 
oxide, ADJ 
fibers, NOUN 
prefer, VERB 

, SPACE 
inert, ADJ 
gas, NOUN 
atmosphere, NOUN 
low, ADJ 
oxygen, NOUN 
pressure, NOUN 
atmo-, NOUN 

, SPACE 
Corresponding, PROPN 
author, NOUN 
sphere, NOUN 
air, NOUN 
safety, NOUN 
applications, NOUN 
long, ADJ 

, SPACE 
life, NOUN 
materials, NOUN 
attractive, ADJ 
composites, NOUN 
use, NOUN 

, SPACE 
air, NOUN 
oxide, NOUN 
fiber, NOUN 
reinforced, VERB 
oxide, NOUN 
matrix, NOUN 
compos-, NOUN 

, SPACE 
ites, NOUN 
compared, VERB 
study, NOUN 
composite, ADJ 

, SPACE 
materials, NOUN 
non, ADJ 
oxide, ADJ 
long, ADJ 
fibers, NOUN 
oxide, NOUN 

, SPACE 
fiber, NOUN 
oxide, NOUN 
matrix, NOUN 
systems, NOUN 
poorly, ADV 
inves-, VERB 

, SPACE 
tigated, VERB 
difficulty, NOUN 
controlling, VERB 
inter-, ADJ 

, SPACE 
facial, ADJ 
strength, NOUN 
influenced, VERB 
sintering, VERB 

, SPACE 
process, NOUN 
purpose, NOUN 
work, NOUN 
basically, ADV 

, SPACE 
understand, VERB 
nonlinear, ADJ 
fracture, ADJ 
behavior, NOUN 
alu-, PROPN 

, SPACE 
mina, PROPN 
fiber, PROPN 
alumina, PROPN 
matrix, NOUN 
composites, NOUN 
relation, NOUN 

, SPACE 
sintering, VERB 
process, NOUN 
long, ADJ 
alumina, PROPN 
fiber, NOUN 
22, NUM 

, SPACE 
vol%)/alumina, PROPN 
matrix, NOUN 
composites, NOUN 
formed, VERB 

, SPACE 
pouring, VERB 
aqueous, ADJ 
alumina, PROPN 
suspensions, NOUN 

, SPACE 
open, ADJ 
spaces, NOUN 
alumina, PROPN 
fiber, NOUN 
sheets, NOUN 
sintered, VERB 

, SPACE 
1, NUM 
OOO-, NUM 
1400, NUM 
°, NOUN 
C, NOUN 
air, NOUN 
vacuum, NOUN 
0.01, NUM 
Pa, PROPN 

, SPACE 
00167, NUM 
577X/96/$12.00, NUM 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
167, NUM 
577X(96)0005, NUM 
l-, NOUN 
1, NUM 

, SPACE 
162, NUM 
Y., PROPN 
Kamino, PROPN 
et, NOUN 
al./Moterials, PROPN 
Letters, PROPN 
28, NUM 
19, NUM 
161, NUM 
164, NUM 

, SPACE 
2, NUM 
Experimental, ADJ 
procedure, NOUN 

, SPACE 
high, ADJ 
purity, NOUN 
alumina, PROPN 
powder, NOUN 
chemical, NOUN 

, SPACE 
composition, NOUN 
99.95, NUM 
wt%, NUM 
Al, PROPN 
O, PROPN 
0.05, NUM 
wt%, VERB 

, SPACE 
MgO, PROPN 
average, ADJ 
particle, NOUN 
size, NOUN 
0.5, NUM 
pm, NOUN 
>, X 
supplied, VERB 

, SPACE 
Sumitomo, PROPN 
Aluminium, PROPN 
Smelting, PROPN 
Co., PROPN 
Ltd., PROPN 
Japan, PROPN 

, SPACE 
ball, NOUN 
milled, VERB 
distilled, ADJ 
water, NOUN 
3, NUM 
h, NOUN 
prepare, VERB 

, SPACE 
aqueous, ADJ 
alumina, PROPN 
suspensions, NOUN 
48.7, NUM 
~01, NUM 
solids, NOUN 

, SPACE 
alumina, PROPN 
suspensions, NOUN 
polyacrylic, ADJ 
ammonium, NOUN 

, SPACE 
dispersant, NOUN 
0.6, NUM 
wt%, NOUN 
acryl, NOUN 
type, NOUN 
emulsion, NOUN 

, SPACE 
binder, NOUN 
0.6, NUM 
wt%, NOUN 
weight, NOUN 
alumina, PROPN 

, SPACE 
powder, NOUN 
added, VERB 
ball, NOUN 
milling, NOUN 
supplied, VERB 

, SPACE 
alumina, PROPN 
yarn, PROPN 
1000, NUM 
filament, NOUN 
consisted, VERB 
o, NOUN 
alumina, ADJ 

, SPACE 
fibers, NOUN 
IO, PROPN 
p_m, NOUN 
diameter, NOUN 
Mitsui, PROPN 
Mining, PROPN 
Co., PROPN 
Japan, PROPN 

, SPACE 
alumina, PROPN 
fibers, NOUN 
85, NUM 
mm, NOUN 
long, ADV 
attached, VERB 

, SPACE 
