Vacuum, PROPN 
volume, NOUN 
47Inumbers, NOUN 
6, NUM 
6lpages, NUM 
653, NUM 
65511996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
riahts, NOUN 
reserved, VERB 
Pergamon, PROPN 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96)00039, PROPN 
5, NUM 
0042, NUM 
207X/56, PROPN 
$, SYM 
15.00+.00, NUM 

, SPACE 
Wall, PROPN 
conditioning, NOUN 
ITER, PROPN 

, SPACE 
H, PROPN 
Nakamura, PROPN 
J, PROPN 
Dietz, PROPN 
P, PROPN 
Ladd, PROPN 
lTER, NOUN 
Garching, PROPN 
JWS, PROPN 
c, PROPN 
o, NOUN 
Max, PROPN 
Planck, PROPN 
Institute, PROPN 
fuer, NOUN 
Plasmaphysik, PROPN 

, SPACE 
Boltzmannstrasse, PROPN 
2,85748, NOUN 
Garching, PROPN 
bei, NOUN 
Muenchen, PROPN 
Germany, PROPN 

, SPACE 
article, NOUN 
presents, VERB 
plans, NOUN 
wall, NOUN 
conditioning, NOUN 
ITER, PROPN 
Typical, ADJ 
machine, NOUN 
parameters, NOUN 
7.5, NUM 
GW, PROPN 
fusion, NOUN 

, SPACE 
power, NOUN 
7000, NUM 
s, NOUN 
DT, PROPN 
burn, NOUN 
duration, NOUN 
achieve, VERB 
plasma, NOUN 
wall, NOUN 
conditioning, NOUN 
required, VERB 
ITER, PROPN 

, SPACE 
baseline, ADJ 
methods, NOUN 
glow, VERB 
discharge, NOUN 
cleaning, VERB 
zero, NUM 
magnetic, ADJ 
field, NOUN 
electron, NOUN 
cyclotron, NOUN 
resonance, NOUN 

, SPACE 
discharge, NOUN 
cleaning, NOUN 
divertor, VERB 
active, ADJ 
pumping, NOUN 
high, ADJ 
magnetic, ADJ 
fields, NOUN 
considered, VERB 
Alternative, ADJ 
methods, NOUN 

, SPACE 
considered, VERB 
Copyright, NOUN 
0, NUM 
7996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd., PROPN 

, SPACE 
Key, ADJ 
words, NOUN 
Electron, PROPN 
