Pergamon, PROPN 
Corrosion, PROPN 
Science, PROPN 
Vol, PROPN 
38, NUM 
3, NUM 
pp, PROPN 
431, NUM 
441, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0010, NUM 
938X196, NUM 
$, SYM 
15.00, NUM 
+, NUM 
0.00, NUM 

, SPACE 
0010, NUM 
938X(96)00140, NUM 
9, NUM 

, SPACE 
DIRECT, PROPN 
OBSERVATION, PROPN 
ANODIC, PROPN 
Bi203, PROPN 
FORMED, PROPN 

, SPACE 
BISMUTH, PROPN 
AMMONIUM, PROPN 
DIHYDROGEN, PROPN 
PHOSPHATE, PROPN 

, SPACE 
SOLUTION, PROPN 

, SPACE 
K., PROPN 
SHIMIZU, PROPN 
K., PROPN 
KOBAYASHI, PROPN 
P., PROPN 
SKELDON,+, PROPN 
G.E., PROPN 
THOMPSON+, PROPN 

, SPACE 
G.C., PROPN 
WOOD+, PROPN 

, SPACE 
Department, PROPN 
Chemistry, PROPN 
Faculty, PROPN 
Science, PROPN 
Technology, PROPN 
Keio, PROPN 
University, PROPN 
3, NUM 
14, NUM 
l, NOUN 
Hiyoshi, PROPN 
Yokohama, PROPN 
223, NUM 

, SPACE 
Japan, PROPN 

, SPACE 
Corrosion, PROPN 
Protection, PROPN 
Centre, PROPN 
University, PROPN 
Manchester, PROPN 
Institute, PROPN 
Science, PROPN 
Technology, PROPN 
Manchester, PROPN 

, SPACE 
M60, PROPN 
lQD, NOUN 
U.K., PROPN 

, SPACE 
Abstract, PROPN 
relatively, ADV 
thin, ADJ 
bismuth, NOUN 
layer, NOUN 
sputter, NOUN 
deposited, VERB 
oxide, NOUN 
coated, VERB 
microscopically, ADV 
flat, ADJ 

, SPACE 
aluminium, NOUN 
substrate, NOUN 
ultramicrotomed, ADJ 
sections, NOUN 
anodic, ADJ 
B&O3, PROPN 
prepared, VERB 
successfully, ADV 
allowing, VERB 
direct, ADJ 

, SPACE 
observation, NOUN 
film, NOUN 
section, NOUN 
transmission, NOUN 
electron, NOUN 
microscope, NOUN 
important, ADJ 
features, NOUN 
observed, VERB 

, SPACE 
anodic, ADJ 
oxide, NOUN 
film, NOUN 
formed, VERB 
ammonium, NOUN 
dihydrogen, NOUN 
phosphate, NOUN 
solution, NOUN 
film, NOUN 
essentially, ADV 
amorphous, ADJ 

, SPACE 
consists, VERB 
distinct, ADJ 
layers, NOUN 
different, ADJ 
compositions, NOUN 
comprising, VERB 
inner, ADJ 
pure, ADJ 
oxide, NOUN 
layer, NOUN 
located, VERB 
adjacent, ADJ 

, SPACE 
metal, NOUN 
outer, ADJ 
layer, NOUN 
doped, VERB 
phosphate, ADJ 
anions, NOUN 
ionic, ADJ 
conductivity, NOUN 
outer, ADJ 
electrolyte, NOUN 
doped, VERB 

, SPACE 
layer, NOUN 
considerably, ADV 
lower, ADJ 
inner, ADJ 
pure, ADJ 
oxide, NOUN 
layer, NOUN 
effect, NOUN 
incorporated, VERB 
phosphate, ADJ 
anions, NOUN 

, SPACE 
ionic, ADJ 
conductivity, NOUN 
oxide, NOUN 
considerably, ADV 
greater, ADJ 
reported, VERB 
previously, ADV 
amorphous, ADJ 
anodic, ADJ 

, SPACE 
oxides, NOUN 
tantalum, NOUN 
niobium, NOUN 

, SPACE 
Keywords, NOUN 
B., PROPN 
TEM, PROPN 
C., PROPN 
anodic, ADJ 
films, NOUN 

, SPACE 
INTRODUCTION, NOUN 

, SPACE 
pioneering, VERB 
work, NOUN 
Guritherschulze, PROPN 
Betz, PROPN 
early, ADJ 
1930s, NUM 
anodic, ADJ 
oxidation, NOUN 

, SPACE 
valve, NOUN 
metals, NOUN 
subject, NOUN 
widespread, ADJ 
study, NOUN 
practical, ADJ 

, SPACE 
fundamental, ADJ 
importance.2d, PROPN 
generally, ADV 
accepted, VERB 
ionic, ADJ 
transport, NOUN 
processes, NOUN 

, SPACE 
involved, VERB 
anodic, ADJ 
oxide, NOUN 
growth, NOUN 
considerably, ADV 
complex, ADJ 
previously, ADV 
thought, VERB 

, SPACE 
aluminium, NOUN 
tantalum, NOUN 
niobium, NOUN 
anodic, ADJ 
oxides, NOUN 
amorphous, ADJ 
oxide, NOUN 

, SPACE 
growth, NOUN 
involves, VERB 
high, ADJ 
field, NOUN 
assisted, VERB 
co, ADJ 
operative, ADJ 
transport, NOUN 
metal, NOUN 
oxygen, NOUN 
ions, NOUN 

, SPACE 
new, ADJ 
oxide, NOUN 
growth, NOUN 
occurring, VERB 
simultaneously, ADV 
oxide, NOUN 
electrolyte, NOUN 
metal, NOUN 
oxide, NOUN 

, SPACE 
interfaces.5, PROPN 
10, NUM 
particular, ADJ 
mode, NOUN 
oxide, NOUN 
growth, NOUN 
anodic, ADJ 
oxide, NOUN 
films, NOUN 

, SPACE 
metals, NOUN 
generally, ADV 
exhibit, VERB 
duplex, NOUN 
structures, NOUN 
taking, VERB 
dissolution, NOUN 
oxide, NOUN 

, SPACE 
account, NOUN 
cases, NOUN 
incorporated, ADJ 
anion, NOUN 
species, NOUN 
immobile, ADJ 
proportion, NOUN 

, SPACE 
outer, ADJ 
anion, NOUN 
doped, VERB 
layer, NOUN 
total, ADJ 
film, NOUN 
thickness, NOUN 
gives, VERB 
transport, NOUN 
number, NOUN 
metal, NOUN 

, SPACE 
ions, NOUN 
key, ADJ 
factors, NOUN 
understanding, VERB 
microscopic, ADJ 
processes, NOUN 
ionic, ADJ 

, SPACE 
transport, NOUN 
anodic, ADJ 
oxide, NOUN 
growth, NOUN 
Consequently, ADV 
considerable, ADJ 
attention, NOUN 
paid, VERB 

, SPACE 
previously, ADV 
duplex, NOUN 
structure, NOUN 
anodic, ADJ 
oxide, NOUN 
films, NOUN 
anion, NOUN 
incorporation, NOUN 

, SPACE 
amorphous, ADJ 
anodic, ADJ 
oxide, NOUN 
films, NOUN 
investigated, VERB 
detail, NOUN 

, SPACE 
films, NOUN 
aluminium,13-‘7, NOUN 
