Original, ADJ 
Length, PROPN 
Article, NOUN 

, SPACE 
Effect, PROPN 
proton, NOUN 
irradiation, NOUN 
followed, VERB 
hindlimb, NOUN 
unloading, VERB 
bone, NOUN 
mature, ADJ 
mice, NOUN 

, SPACE 
model, NOUN 
long, ADJ 
duration, NOUN 
space, NOUN 
ﬂight, VERB 

, SPACE 
Shane, PROPN 
A., NOUN 
Lloyda,1, PROPN 
Eric, PROPN 
R., PROPN 
Bandstrab,1, PROPN 
Jeffrey, PROPN 
S., PROPN 
Willeyc, PROPN 
Stephanie, PROPN 
E., PROPN 
Rif, PROPN 
ﬂeb, NOUN 
Leidamarie, PROPN 
Tirado, PROPN 
Leeb, PROPN 

, SPACE 
Gregory, PROPN 
A., PROPN 
Nelsond, PROPN 
Michael, PROPN 
J., PROPN 
Pecautd, PROPN 
Ted, PROPN 
A., NOUN 
Batemane, PROPN 
f,⁎, PROPN 

, SPACE 
aDivision, PROPN 
Musculoskeletal, PROPN 
Sciences, PROPN 
Department, PROPN 
Orthopaedics, PROPN 
Rehabilitation, PROPN 
Penn, PROPN 
State, PROPN 
College, PROPN 
Medicine, PROPN 
500, NUM 
University, PROPN 
Drive, PROPN 
Hersh, PROPN 
ey, PROPN 
PA, PROPN 
17033, NUM 
USA, PROPN 

, SPACE 
bDepartment, PROPN 
Bioengineering, PROPN 
Clemson, PROPN 
University, PROPN 
501, NUM 
Rhodes, PROPN 
Research, PROPN 
Center, PROPN 
Clemson, PROPN 
SC, PROPN 
29634, NUM 
USA, PROPN 

, SPACE 
cSection, PROPN 
Molecular, PROPN 
Medicine, PROPN 
Department, PROPN 
Radiation, PROPN 
Oncology, PROPN 
Comprehensive, PROPN 
Cancer, PROPN 
Center, PROPN 
Wake, PROPN 
Forest, PROPN 
School, PROPN 
Medicine, PROPN 
Medical, PROPN 
Center, PROPN 
Bo, PROPN 
ulevard, ADJ 

, SPACE 
Winston, PROPN 
Salem, PROPN 
NC, PROPN 
27157, NUM 
USA, PROPN 

, SPACE 
dDepartment, PROPN 
Radiation, PROPN 
Medicine, PROPN 
Loma, PROPN 
Linda, PROPN 
University, PROPN 
Medical, PROPN 
Center, PROPN 
11234, NUM 
Anderson, PROPN 
Street, PROPN 
Loma, PROPN 
Linda, PROPN 
92354, NUM 
USA, PROPN 

, SPACE 
eDepartment, PROPN 
Biomedical, PROPN 
Engineering, PROPN 
University, PROPN 
North, PROPN 
Carolina, PROPN 
Chapel, PROPN 
Hill, PROPN 
152, NUM 
MacNider, PROPN 
Hall, PROPN 
Chapel, PROPN 
Hill, PROPN 
NC, PROPN 
27599, NUM 
USA, PROPN 

, SPACE 
fDepartment, PROPN 
Radiation, PROPN 
Oncology, PROPN 
University, PROPN 
North, PROPN 
