s, VERB 
BB, PROPN 
ELSEYIER, PROPN 
August, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
27, NUM 
1996, NUM 
307, NUM 
3, NUM 
11, NUM 

, SPACE 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
ZnTe, PROPN 
thin, ADJ 
films, NOUN 

, SPACE 
S., PROPN 
Bhumia, PROPN 
P., PROPN 
Bhattacharya, PROPN 
D.N., PROPN 
Bose, PROPN 

, SPACE 
Semiconductor, PROPN 
Dioision, PROPN 
Materials, PROPN 
Science, PROPN 
Centre, PROPN 
Indian, PROPN 
Institute, PROPN 
Technology, PROPN 
Kharagpur, PROPN 
721302, NUM 
India, PROPN 

, SPACE 
Received, VERB 
13, NUM 
November, PROPN 
1995, NUM 
accepted, VERB 
28, NUM 
November, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Thin, ADJ 
films, NOUN 
ZnTe, PROPN 
deposited, VERB 
glass, NOUN 
Si, PROPN 
pulsed, VERB 
laser, NOUN 
ablation, NOUN 
substrate, NOUN 
temperatures, NOUN 
26, NUM 
°, NUM 
C, NOUN 
286, NUM 
°, NUM 
C, NOUN 

, SPACE 
X, PROPN 
ray, NOUN 
diffraction, NOUN 
studies, NOUN 
showed, VERB 
films, NOUN 
deposited, VERB 
26, NUM 
°, NOUN 
C, NOUN 
amorphous, ADJ 
deposited, VERB 
286, NUM 
°, NOUN 
C, NOUN 

, SPACE 
polycrystalline, NOUN 
X, NOUN 
ray, PROPN 
photoelectron, PROPN 
spectroscopy, VERB 
@F, PROPN 
showed, VERB 
Zn, NOUN 
Te, DET 
ratio, NOUN 
49.1, NUM 
50.9, NUM 
types, NOUN 
films, NOUN 

, SPACE 
band, NOUN 
gap, NOUN 
films, NOUN 
deposited, VERB 
286, NUM 
°, NOUN 
C, NOUN 
2.2, NUM 
eV., ADJ 
conductivity, NOUN 
films, NOUN 
1.09, NUM 
X, PROPN 
10, NUM 
j, NOUN 
0, PROPN 
l, NOUN 
cm, NOUN 

, SPACE 
2.59, NUM 
X, PROPN 
10e6, NUM 
R-, PROPN 
cm-, NOUN 
respectively, ADV 
300, NUM 
K., NOUN 
variation, NOUN 
conductivity, NOUN 
temperature, NOUN 
properties, NOUN 

, SPACE 
ZnTe, PROPN 
Si, PROPN 
heterojunctions, NOUN 
studied, VERB 

, SPACE 
Kewordsr, PROPN 
Thin, ADJ 
film, NOUN 
Semiconductor, PROPN 
Laser, PROPN 
Substrate, PROPN 
temperature, NOUN 
Heterojunction, NOUN 
Silicon, PROPN 
Glass, PROPN 
substrates, VERB 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
ZnTe, PROPN 
wide, ADJ 
band, NOUN 
gap, NOUN 
II, PROPN 
VI, PROPN 
semiconductor, NOUN 

, SPACE 
band, NOUN 
gap, NOUN 
2.26, NUM 
eV, NUM 
300, NUM 
K., PROPN 
High, ADJ 
quality, NOUN 

, SPACE 
ZnTe, PROPN 
films, NOUN 
alloys, NOUN 
Cd, PROPN 
Zn, PROPN 
Te, PROPN 

, SPACE 
ZnSe, PROPN 
Te, PROPN 
-x, PUNCT 
considerable, ADJ 
potential, NOUN 
opto-, ADJ 

, SPACE 
electronics, NOUN 
integrated, ADJ 
optics, NOUN 
l-3, PROPN 
Recently, ADV 

, SPACE 
ZnTe, PROPN 
making, VERB 
graded, ADJ 
contacts, NOUN 

, SPACE 
p, PROPN 
ZnSe, PROPN 
blue, ADJ 
laser, NOUN 
fabrication, NOUN 
4, NUM 
ZnTe, PROPN 

, SPACE 
alloys, NOUN 
effectively, ADV 
CdTe, PROPN 
based, VERB 
solar, ADJ 

, SPACE 
cells, NOUN 
stable, ADJ 
contact, NOUN 
formation, NOUN 

, SPACE 
problem, NOUN 
Use, PROPN 
ZnTe, PROPN 
contact, NOUN 
layer, NOUN 
n, ADJ 
p, NOUN 

, SPACE 
structure, NOUN 
effective, ADJ 
producing, VERB 
high, ADJ 
effi-, NOUN 

, SPACE 
ciency, NOUN 
devices, NOUN 
5, NUM 
