Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
112, NUM 
1996, NUM 
94, NUM 
98, NUM 

, SPACE 

, SPACE 
J, PROPN 
LiVlOM, PROPN 
B, PROPN 

, SPACE 
ELSEWIER, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, NOUN 
8, NUM 
Atoms, NOUN 

, SPACE 
Preparation, PROPN 
C, PROPN 
single, ADJ 
crystalline, NOUN 
thin, ADJ 
film, NOUN 
ionized, VERB 
cluster, NOUN 
beam, NOUN 

, SPACE 
deposition, NOUN 
ion, NOUN 
implantation, NOUN 
single, ADJ 
crystalline, NOUN 
C, PROPN 
thin, ADJ 
film, NOUN 

, SPACE 
Satoru, PROPN 
Isoda, PROPN 
Hiroaki, PROPN 
Kawakubo, PROPN 
Satoshi, PROPN 
Nishikawa, PROPN 
Osamu, PROPN 
Wada, PROPN 
b, PROPN 

, SPACE 
Central, PROPN 
Research, PROPN 
Laboratory, PROPN 
Materials, PROPN 
Electronic, PROPN 
Devices, PROPN 
Laboratory, PROPN 
Mitsubishi, PROPN 
Electric, PROPN 
Corporation, PROPN 
8, NUM 
l, NOUN 
Tsukaguchi, PROPN 
Horvnachi, PROPN 

, SPACE 
Amagasaki, PROPN 
Hyogo, PROPN 
661, NUM 
Japan, PROPN 

, SPACE 
b, PROPN 
Materials, PROPN 
Electronic, PROPN 
Devices, PROPN 
Laboratory, PROPN 
Mitsubishi, PROPN 
Electric, PROPN 
Corporation, PROPN 
8, NUM 
1, NUM 
Tsukaguchi, PROPN 
Honmachi, PROPN 
Amagasaki, PROPN 
Hyogo, PROPN 
661, NUM 

, SPACE 
Japan, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
succeeded, VERB 
preparing, VERB 
single, ADJ 
crystalline, NOUN 
C, PROPN 
thin, ADJ 
film, NOUN 
lateral, ADJ 
extension, NOUN 
order, NOUN 
millimeters, NOUN 

, SPACE 
mica, PROPN 
ionized, VERB 
cluster, NOUN 
beam, NOUN 
ICB, PROPN 
deposition, NOUN 
growth, NOUN 
process, NOUN 
planar, NOUN 
dendrite, ADJ 
like, ADJ 
single, ADJ 
crystalline, NOUN 
islands, NOUN 

, SPACE 
observed, VERB 
atomic, ADJ 
force, NOUN 
microscope, NOUN 
AFM, PROPN 
concluded, VERB 
reflection, NOUN 
high, ADJ 
energy, NOUN 
electron, NOUN 
diffraction, NOUN 

, SPACE 
RHEED, PROPN 
transmission, NOUN 
electron, NOUN 
diffraction, NOUN 
TED, PROPN 
analyses, VERB 
islands, NOUN 
grow, VERB 
hetero, NOUN 
epitaxially, ADV 
