Vacuum, PROPN 
volume, NOUN 
47lnumbers, PROPN 
6, NUM 
W, NOUN 
pages, NOUN 
7017, NUM 
1022/1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
riahts, NOUN 
reserved, VERB 
Pergamon, PROPN 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96)OOll!b7, NUM 
0042, NUM 
207X, PROPN 
i6, NOUN 
$, SYM 
15.00+.00, NUM 

, SPACE 
Time, PROPN 
resolved, VERB 
analysis, NOUN 
ion, NOUN 
motion, NOUN 
oscillating, VERB 

, SPACE 
plasma, NOUN 
sheath, NOUN 

, SPACE 
D, PROPN 
Martin, PROPN 
H, PROPN 
Oechsner, PROPN 
Department, PROPN 
Physics, PROPN 
Center, PROPN 
Materials, PROPN 
Research, PROPN 
University, PROPN 

, SPACE 
Kaiserslautern, PROPN 
Erwin, PROPN 
Schroedinger_Stra/3e, PROPN 
D-67663, PROPN 
Kaiserslautern, PROPN 
Germany, PROPN 

, SPACE 
ion, NOUN 
extraction, NOUN 
mechanism, NOUN 
based, VERB 
self, NOUN 
biasing, VERB 
effect, NOUN 
resulting, VERB 
RF, PROPN 
voltage, NOUN 
low, ADJ 

, SPACE 
pressure, NOUN 
plasma, NOUN 
electrode, NOUN 
contact, NOUN 
plasma, NOUN 
studied, VERB 
detailed, ADJ 
computer, NOUN 
simulations, NOUN 

, SPACE 
results, NOUN 
simulations, NOUN 
compared, VERB 
corresponding, ADJ 
measurements, NOUN 
particular, ADJ 
influence, NOUN 

, SPACE 
frequency, NOUN 
RF, PROPN 
extraction, NOUN 
voltage, NOUN 
ion, NOUN 
mass, NOUN 
energy, NOUN 
distribution, NOUN 
extracted, VERB 
ion, NOUN 

, SPACE 
flux, NOUN 
investigated, VERB 
simulation, NOUN 
ion, NOUN 
kinetics, NOUN 
oscillating, NOUN 
plasma, NOUN 
sheath, NOUN 
electrode, NOUN 

, SPACE 
shown, VERB 
provide, VERB 
detailed, ADJ 
understanding, NOUN 
respective, ADJ 
ion, NOUN 
acceleration, NOUN 
mechanism, NOUN 
simulation, NOUN 

, SPACE 
results, NOUN 
supply, VERB 
useful, ADJ 
information, NOUN 
selection, NOUN 
favorable, ADJ 
operation, NOUN 
conditions, NOUN 
e.g., ADV 
establishing, VERB 

, SPACE 
uniform, ADJ 
energy, NOUN 
extracted, VERB 
plasma, NOUN 
ions, NOUN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd., PROPN 

, SPACE 
Key, ADJ 
words, NOUN 
Computer, NOUN 
simulation, NOUN 
ion, NOUN 
motion, NOUN 
ion, NOUN 
energy, NOUN 
distributions, NOUN 
plasma, NOUN 
sheath, ADJ 
effects, NOUN 
RF, PROPN 
based, VERB 
ion, NOUN 

, SPACE 
extraction, NOUN 

, SPACE 
Introduction, NOUN 

, SPACE 
self, NOUN 
biasing, VERB 
effect, NOUN 
electrode, NOUN 
carrying, VERB 
RF, PROPN 
potential, NOUN 

, SPACE 
surrounding, VERB 
plasma, NOUN 
known, VERB 
inter-, ADJ 

, SPACE 
esting, VERB 
phenomenon, NOUN 
low, ADJ 
pressure, NOUN 
gas, NOUN 
discharges, NOUN 

, SPACE 
time, NOUN 
early, ADJ 
utilization, NOUN 
bombardment, NOUN 
electrically, ADV 

, SPACE 
insulated, ADJ 
dielectric, ADJ 
targets, NOUN 
plasma, NOUN 
ions, NOUN 
tremendously, ADV 

, SPACE 
fostered, VERB 
evolution, NOUN 
ion, NOUN 
sputtering, VERB 
uni-, PUNCT 

, SPACE 
versal, ADJ 
PVD, PROPN 
method, NOUN 
thin, ADJ 
film, NOUN 
technology.3,4, NOUN 
recently, ADV 

, SPACE 
self, NOUN 
biasing, VERB 
process, NOUN 
utilized, VERB 
production, NOUN 

, SPACE 
monoenergetic, ADJ 
completely, ADV 
charge, VERB 
compensated, VERB 
large, ADJ 
area, NOUN 

, SPACE 
ion, NOUN 
beams, NOUN 
respective, ADJ 
plasma, NOUN 
beam, NOUN 
sources, NOUN 
RF, NOUN 

, SPACE 
potential, NOUN 
applied, VERB 
arbitrarily, ADV 
excited, ADJ 
low, ADJ 
pressure, NOUN 
plasma, NOUN 

, SPACE 
ion, NOUN 
accelerating, VERB 
self, NOUN 
bias, NOUN 
voltage, NOUN 
U, NOUN 
develops, VERB 

, SPACE 
plasma, NOUN 
favorably, ADV 
grounded, VERB 
extraction, NOUN 
electrode, ADJ 

, SPACE 
saturation, NOUN 
current, NOUN 
monoenergetic, ADJ 
ions, NOUN 
causes, VERB 

, SPACE 
leave, VERB 
plasma, NOUN 
precisely, ADV 
compensated, VERB 
short, ADJ 
pulses, NOUN 

, SPACE 
electron, NOUN 
retardation, NOUN 
current, NOUN 
periodically, ADV 
superimpose, VERB 

, SPACE 
ion, NOUN 
current, NOUN 
potential, NOUN 
plasma, NOUN 
approaches, NOUN 

, SPACE 
extraction, NOUN 
electrode, ADV 
RF, PROPN 
period, NOUN 
RF, NOUN 
plasma, NOUN 

, SPACE 
beam, NOUN 
sources, NOUN 
type, NOUN 
successfully, ADV 
employed, VERB 

, SPACE 
deposition, NOUN 
diamond, NOUN 
like, ADJ 
carbon8, NOUN 
titanium, NOUN 
nitride, NOUN 
films, NOUN 

, SPACE 
extraction, NOUN 
method, NOUN 
plasma, NOUN 
based, VERB 

, SPACE 
technique, NOUN 
controlled, VERB 
low, ADJ 
energy, NOUN 
ion, NOUN 
bombardment, NOUN 
dielec-, NOUN 

, SPACE 
tric, ADJ 
surfaces, NOUN 
respective, ADJ 
apparatus, NOUN 
capacitive, ADJ 
RF, NOUN 

, SPACE 
circuit, NOUN 
consisting, VERB 
insulating, VERB 
target, NOUN 
