Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
338, NUM 
341, NUM 

, SPACE 
cm, NOUN 

, SPACE 
IEB, PROPN 

, SPACE 
EISEVIER, NOUN 
RIIIM, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, PROPN 

, SPACE 
Spectrophotometry, PROPN 
ion, PROPN 
implanted, VERB 
silicon, NOUN 
carbide, PROPN 
thin, ADJ 
films, NOUN 

, SPACE 
A.D., PROPN 
Lake, PROPN 
A.M., PROPN 
Mezzasalma, PROPN 
S., PROPN 
Rizzo, PROPN 
G., PROPN 
Mondio, PROPN 

, SPACE 
Uniuersith, PROPN 
di, X 
Messina, PROPN 
Dipartimento, PROPN 
di, X 
Fisica, PROPN 
delta, PROPN 
Materia, PROPN 
Geojisica, PROPN 
e, NOUN 
Fisica, PROPN 
deU’Ambiente, NOUN 
Salita, PROPN 
Sperone, PROPN 
31, NUM 

, SPACE 
I-98166, PROPN 
Sant’Agata, PROPN 
Messina, PROPN 
Italy, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
optical, ADJ 
properties, NOUN 
thin, ADJ 
films, NOUN 
silicon, NOUN 
carbide, PROPN 
prepared, VERB 
implantation, NOUN 
C, PROPN 
Hz, PROPN 
ions, NOUN 
silicon, NOUN 
evaporated, VERB 

, SPACE 
sapphire, NOUN 
substrate, NOUN 
subsequently, ADV 
annealed, VERB 
different, ADJ 
temperatures, NOUN 
500, NUM 
600, NUM 
800, NUM 
°, NOUN 
C, PROPN 
studied, VERB 

, SPACE 
spectrophotometry, NOUN 
real, ADJ 
imaginary, ADJ 
parts, NOUN 
dielectric, ADJ 
constant, ADJ 
systematic, ADJ 
variations, NOUN 

, SPACE 
attributed, VERB 
degree, NOUN 
amorphisation, NOUN 
turn, NOUN 
related, VERB 
annealing, VERB 
temperature, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
exist, VERB 
numerous, ADJ 
forms, NOUN 
silicon, NOUN 
carbide, PROPN 
crys-, NOUN 

, SPACE 
talline, NOUN 
polycrystalline, NOUN 
amorphous, ADJ 
hydrogenated, ADJ 

, SPACE 
current, ADJ 
potential, ADJ 
applications, NOUN 
particu-, VERB 

, SPACE 
larly, ADV 
fields, NOUN 
optoelectronics, NOUN 
high, ADJ 
power, NOUN 
high, ADJ 

, SPACE 
frequency, ADJ 
electronics, NOUN 
environments, NOUN 
thermal, ADJ 
sta-, NOUN 

, SPACE 
bility, NOUN 
radiation, NOUN 
resistance, NOUN 
important, ADJ 

, SPACE 
