Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
12, NUM 
1996, NUM 
275, NUM 
279, NUM 

, SPACE 
cQ.5, NOUN 

, SPACE 
E!B, X 
k!lOMl, PROPN 
B, PROPN 

, SPACE 
ELSEVIER, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Thin, PROPN 
BN, PROPN 
films, NOUN 
obtained, VERB 
dual, ADJ 
ion, NOUN 
beam, NOUN 
sputtering, NOUN 
FYI’-IR, NOUN 

, SPACE 
spectroscopic, NOUN 
ellipsometry, NOUN 
characterization, NOUN 

, SPACE 
C., PROPN 
Quir, PROPN 
P., PROPN 
Prieto, PROPN 
J.F., PROPN 
Trigo, PROPN 
E., PROPN 
Elizalde, PROPN 
J.M., PROPN 
Sanz, PROPN 

, SPACE 
Dpto, PROPN 
Ficica, PROPN 
Aplicada, PROPN 
C, PROPN 
XII, PROPN 
Uniuersidad, PROPN 
Authwma, PROPN 
de, PROPN 
Madrid, PROPN 
Canrohlanco, PROPN 
E-28049, PROPN 
Madrid, PROPN 
Spain, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Thin, PROPN 
BN, PROPN 
films, NOUN 
100, NUM 
250, NUM 
nm, ADJ 
deposited, VERB 
Si, PROPN 
100, NUM 
substrates, NOUN 
double, ADJ 
ion, NOUN 
beam, NOUN 
sputtering, VERB 
system, NOUN 

, SPACE 
h, PROPN 
BN, NOUN 
target, NOUN 
films, NOUN 
characterized, VERB 
FT, PROPN 
IR, PROPN 
spectroscopy, NOUN 
spectroscopic, NOUN 
phase, NOUN 
modulated, VERB 
ellipsometry, NOUN 

, SPACE 
function, NOUN 
deposition, NOUN 
irradiation, NOUN 
parameters, NOUN 
Assistance, NOUN 
Ar, PROPN 
+, PROPN 
ions, NOUN 
result, VERB 
boron, PROPN 
rich, ADJ 
films, NOUN 
refraction, NOUN 

, SPACE 
indexes, NOUN 
2, NUM 
higher, ADJ 
deposited, VERB 
energy, NOUN 
assisting, VERB 
ions, NOUN 
increases, NOUN 
N:-bombardment, NOUN 
causes, VERB 

, SPACE 
stoichiometric, ADJ 
nitrogen, NOUN 
rich, ADJ 
BN, PROPN 
films, NOUN 
characterized, VERB 
refraction, NOUN 
indexes, NOUN 
1.85, NUM 
stability, NOUN 
films, NOUN 

, SPACE 
enhanced, VERB 
deposited, VERB 
energy, NOUN 
N, PROPN 
+, CCONJ 
ions, NOUN 
30, NUM 
eV, SYM 
atom, PROPN 
and/or, CCONJ 
deposition, NOUN 
performed, VERB 
substrates, NOUN 

, SPACE 
temperatures, NOUN 
