Pergamon, PROPN 
Vacuum, PROPN 
volume, NOUN 
47lnumbers, PROPN 
6, NUM 
6fpages, NUM 
903, NUM 
906/1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96)00091, PROPN 
7, NUM 
0042, NUM 
207X/96, NUM 
$, SYM 
15.00+.00, NUM 

, SPACE 
La, PROPN 
Ce, PROPN 
incorporation, NOUN 
effects, NOUN 
surface, NOUN 

, SPACE 
properties, NOUN 
fluorinated, VERB 
Ti, PROPN 
Zr)(Mn, PROPN 
Cr, PROPN 
Ni, PROPN 

, SPACE 
hydriding, VERB 
alloys, NOUN 

, SPACE 
F, PROPN 
J, PROPN 
Liu, PROPN 
K, PROPN 
Kitayama, PROPN 
S, PROPN 
Suda, PROPN 
Department, PROPN 
Chemical, PROPN 
Engineering, PROPN 
Kogakuin, PROPN 
University, PROPN 
2665-, PROPN 
1, NUM 

, SPACE 
Nakano, PROPN 
machi, PROPN 
Hachioji, PROPN 
shi, PROPN 
Tokyo, PROPN 
792, NUM 
Japan, PROPN 

, SPACE 
small, ADJ 
La, PROPN 
Ce, PROPN 
incorporation, NOUN 
AB, PROPN 
alloys, VERB 
Ti,_,_&_,(La, PROPN 
Ce, PROPN 
Mn0.8Cro.sNi0.r, PROPN 
compounds, NOUN 

, SPACE 
x, PUNCT 
varying, VERB 
0.0, NUM 
0.05, NUM 
performed, VERB 
order, NOUN 
improve, VERB 
activation, NOUN 
characteristics, NOUN 
Ti, PROPN 
Zr, PROPN 

, SPACE 
based, VERB 
AB, PROPN 
hydriding, VERB 
alloys, NOUN 
gas, NOUN 
solid, ADJ 
reactions, NOUN 
fluorinated, ADJ 
surface, NOUN 
properties, NOUN 
compounds, NOUN 

, SPACE 
investigated, VERB 
addition, NOUN 
structural, ADJ 
compositional, ADJ 
analysis, NOUN 
ESCA, PROPN 
EPMA, PROPN 
XRD, PROPN 

, SPACE 
microscope, NOUN 
observations, NOUN 
La, PROPN 
Ce, PROPN 
incorporation, NOUN 
forms, NOUN 
La, PROPN 
Ce, PROPN 
rich, ADJ 
secondary, ADJ 
phase, NOUN 
homogeneously, ADV 

, SPACE 
distributed, VERB 
grain, NOUN 
boundaries, NOUN 
original, ADJ 
AB, PROPN 
phase, NOUN 
particle, NOUN 
surface, NOUN 
secondary, ADJ 

, SPACE 
phases, NOUN 
contribute, VERB 
significant, ADJ 
improvement, NOUN 
activation, NOUN 
characteristics, NOUN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, ADJ 

, SPACE 
