ELSEVIER, NOUN 
Bone, PROPN 
Vol, PROPN 
21, NUM 
3, NUM 

, SPACE 
September, PROPN 
1997:243, NUM 
247, NUM 

, SPACE 
Leukemia, PROPN 
Inhibitory, PROPN 
Factor, PROPN 
Mitogenic, PROPN 
Osteoblasts, PROPN 

, SPACE 
J., PROPN 
CORNISH, PROPN 
1, NUM 
K., PROPN 
E., PROPN 
CALLON, PROPN 
1, NUM 
S., PROPN 
G., PROPN 
EDGAR, PROPN 
2, NUM 
I., PROPN 
R., PROPN 
REID, PROPN 
l, PROPN 

, SPACE 
Departments, PROPN 
1, NUM 
Medicine, PROPN 
2, NUM 
Pathology, PROPN 
University, PROPN 
Auckland, PROPN 
Auckland, PROPN 
New, PROPN 
Zealand, PROPN 

, SPACE 
Leukemia, PROPN 
inhibitory, ADJ 
factor, NOUN 
LIF, PROPN 
regulates, VERB 
cell, NOUN 
growth, NOUN 

, SPACE 
produced, VERB 
variety, NOUN 
tissues, NOUN 
including, VERB 
bone, NOUN 
Previously, ADV 

, SPACE 
shown, VERB 
recombinant, ADJ 
human, PROPN 
LIF, PROPN 
induced, VERB 

, SPACE 
increase, NOUN 
osteoclast, ADJ 
number, NOUN 
bone, NOUN 
formation, NOUN 
DNA, NOUN 

, SPACE 
synthesis, NOUN 
present, ADJ 
study, NOUN 
defined, VERB 
cells, NOUN 

, SPACE 
intact, ADJ 
bone, NOUN 
proliferative, ADJ 
effects, NOUN 
LIF, PROPN 
occur, VERB 

, SPACE 
simultaneous, ADJ 
enzyme, NOUN 
histochemistry, NOUN 
autoradio-, ADJ 

, SPACE 
graphic, ADJ 
techniques, NOUN 
area, NOUN 
alkaline, NOUN 
phosphatase, NOUN 
posi-, NOUN 

, SPACE 
tive, NOUN 
staining, NOUN 
increased, VERB 
twofold, ADV 
p, NOUN 
=, NOUN 
0.0008, NUM 

, SPACE 
number, NOUN 
3H]thym, NUM 
~, NOUN 
dine, NOUN 
positive, ADJ 
cells, NOUN 
increased, VERB 
two-, ADV 

, SPACE 
fold, ADJ 
p, NOUN 
=, NOUN 
0.0024, NUM 
treated, VERB 
bones, NOUN 
radiolabeled, VERB 
cells, NOUN 

, SPACE 
colocalized, VERB 
alkaline, NOUN 
phosphatase, NOUN 

, SPACE 
osteoprogenitor, NOUN 
regi,~n, NOUN 
found, VERB 
acid, NOUN 

, SPACE 
phosphatase, NOUN 
positive, ADJ 
staining, VERB 
osteoclasts, NOUN 
results, NOUN 
indi-, VERB 

, SPACE 
cate, NOUN 
cells, NOUN 
mitogenic, ADJ 
response, NOUN 
LIF, PROPN 

, SPACE 
bone, NOUN 
forming, VERB 
bone, NOUN 
resorbing, VERB 
cells, NOUN 
Bone, NOUN 
21, NUM 

, SPACE 
243, NUM 
247, NUM 
1997, NUM 
©, NOUN 
1997, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 
rights, NOUN 

, SPACE 
reserved, VERB 

, SPACE 
Key, PROPN 
Words, NOUN 
Leukemia, VERB 
inhibitory, ADJ 
factor, NOUN 
Calvaria, PROPN 
Histochemi-, PROPN 

, SPACE 
cal, ADJ 
Alkaline, NOUN 
phosphal, VERB 
~, PUNCT 
se, PROPN 
Acid, PROPN 
phosphatase, NOUN 
Autoradiography, PROPN 

, SPACE 
Introduction, PROPN 

