Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
342, NUM 
346, NUM 

, SPACE 
cw, NOUN 
E!J, NOUN 
EISEVIER, PROPN 
NOM-6, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Ion, NOUN 
versus, ADP 
neutral, ADJ 
irradiation, NOUN 
thin, ADJ 
films, NOUN 
amorphous, ADJ 
SiO, NOUN 

, SPACE 
situ, NOUN 
X, PROPN 
ray, PROPN 
photoelectron, PROPN 
spectroscopy, PROPN 
study, PROPN 

, SPACE 
Albert0, PROPN 
Torrisi, PROPN 
Antonino, PROPN 
Licciardello, PROPN 
Valentina, PROPN 
Ancarani, PROPN 
Massimiliano, PROPN 
Cantiano, PROPN 

, SPACE 
Orazio, PROPN 
Puglisi, PROPN 

, SPACE 
Dipartimento, PROPN 
di, NOUN 
Scienze, PROPN 
Chimiche, PROPN 
dell’llniuersitii, VERB 
di, X 
Catania, PROPN 
uiale, NOUN 
A., NOUN 
Doria, PROPN 
6, NUM 
95125, NUM 
Catania, PROPN 
Italy, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
paper, NOUN 
present, VERB 
results, NOUN 
X, PROPN 
photoelectron, PROPN 
spectroscopy, NOUN 
study, NOUN 
thin, ADJ 
films, NOUN 
amorphous, ADJ 
SiO, NOUN 

, SPACE 
bombarded, VERB 
neutral, ADJ 
ionic, ADJ 
positive, ADJ 
Ar, PROPN 
beams, NOUN 
keV, PROPN 
energy, NOUN 
bombardments, NOUN 
performed, VERB 
inside, ADP 

, SPACE 
preparation, NOUN 
chamber, NOUN 
XPS, PROPN 
spectrometer, NOUN 
samples, NOUN 
compared, VERB 
irradiation, NOUN 

, SPACE 
exposing, VERB 
surface, NOUN 
air, NOUN 
particular, ADJ 
care, NOUN 
taken, VERB 
measuring, VERB 
flux, NOUN 
neutral, ADJ 
beam, NOUN 

, SPACE 
measurement, NOUN 
performed, VERB 
utilising, VERB 
secondary, ADJ 
electrons, NOUN 
ejected, VERB 
surface, NOUN 
metallic, ADJ 
support, NOUN 

, SPACE 
sample, NOUN 
comparison, NOUN 
effects, NOUN 
induced, VERB 
neutral, ADJ 
ionic, ADJ 
bombardment, NOUN 
fluence, NOUN 

, SPACE 
situ, ADJ 
comparison, NOUN 
allowed, VERB 
conclude, VERB 
bombardment, NOUN 
SiO, PROPN 
ions, NOUN 
neutrals, NOUN 
detected, VERB 
XPS, PROPN 

, SPACE 
modifications, NOUN 
identical, ADJ 
experimental, ADJ 
error, NOUN 
kinds, NOUN 
beam, NOUN 
