ELSEVIER, PROPN 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
18, NUM 
1996, NUM 
547, NUM 
55, NUM 

, SPACE 
Nl[lM, NOUN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, NOUN 
Atoms, PROPN 

, SPACE 
Characterization, PROPN 
recovery, NOUN 
recrystallization, NOUN 
SrTiO, PROPN 

, SPACE 
surface, NOUN 
ion, NOUN 
channeling, VERB 

, SPACE 
F., PROPN 
Wang, PROPN 
+, PROPN 
M., PROPN 
Badaye, PROPN 
Y., PROPN 
Yoshida, PROPN 
T., PROPN 
Morishita, PROPN 

, SPACE 
Superconductivity, PROPN 
Reseurch, PROPN 
Laboratory, PROPN 
ISTEC, PROPN 
IO-13, NUM 
Shinonome, ADJ 
chome, VERB 
Koto, PROPN 
ku, PROPN 
Tokyo, PROPN 
135, NUM 
Japun, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
response, NOUN 
amorphous, ADJ 
SrTiO, PROPN 
@TO, PROPN 
films, NOUN 
deposited, VERB 
sputtering, VERB 
ST0, PROPN 
single, ADJ 
crystalline, NOUN 
substrates, NOUN 
ihermal, VERB 

, SPACE 
annealing, NOUN 
investigated, VERB 
950, NUM 
keV, NOUN 
He+, NOUN 
ion, NOUN 
channeling, NOUN 
annealing, PROPN 
amorphous, ADJ 
films, NOUN 
560, NUM 
thick, ADJ 

, SPACE 
crystallize, VERB 
epitaxially, ADV 
underlying, VERB 
substrate, NOUN 
solid, ADJ 
phase, NOUN 
epitaxy, NOUN 
SPE, PROPN 
crystallized, VERB 
films, NOUN 
defective, ADJ 

, SPACE 
defect, ADJ 
level, NOUN 
decreases, NOUN 
increasing, VERB 
annealing, VERB 
temperature, NOUN 
range, NOUN 
400, NUM 
800, NUM 
°, NUM 
C, NOUN 
increases, VERB 

, SPACE 
increasing, VERB 
temperature, NOUN 
range, NOUN 
800, NUM 
l, NOUN 
100, NUM 
°, NOUN 
C, NOUN 
thought, VERB 
result, VERB 
competition, NOUN 
annealing, VERB 

, SPACE 
SPE, PROPN 
formation, NOUN 
randomly, ADV 
oriented, VERB 
crystallit$s, PROPN 
dominant, ADJ 
process, NOUN 
high, ADJ 
temperatures, NOUN 
Tbe, VERB 
recovery, NOUN 

, SPACE 
crystallinity, NOUN 
ST0, NOUN 
substrate, NOUN 
560, NUM 
thick, ADJ 
amorphous, ADJ 
layer, NOUN 
requires, VERB 
step, NOUN 
annealing, NOUN 
sequence, NOUN 
i.e., X 

, SPACE 
annealing, VERB 
800, NUM 
°, NOUN 
C, NOUN 
followed, VERB 
annealing, VERB 
100, NUM 
°, NOUN 
C, NOUN 
single, ADJ 
crystal, NOUN 
substrates, NOUN 
thin, ADJ 
ST0, NOUN 
amorphous, ADJ 
layer, NOUN 
80, NUM 

, SPACE 
thick, ADJ 
completely, ADV 
recovered, VERB 
single, ADJ 
step, NOUN 
annealing, NOUN 
1100, NUM 
°, NUM 
C, NOUN 
30, NUM 
min, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Solid, ADJ 
phase, NOUN 
epitaxy, NOUN 
SPE, PROPN 
extensively, ADV 
studied, VERB 

, SPACE 
semiconducting, VERB 
materials, NOUN 
metal, NOUN 
oxides, NOUN 
2,3, NUM 

, SPACE 
especially, ADV 
ternary, ADJ 
oxides, NOUN 
probable, ADJ 
exis-, NOUN 

, SPACE 
tence, NOUN 
multiple, ADJ 
metastable, ADJ 
crystalline, NOUN 
phases, NOUN 
com-, NOUN 

, SPACE 
peting, VERB 
bonding, NOUN 
mechanisms, NOUN 
makes, VERB 
understanding, NOUN 

, SPACE 
SPE, PROPN 
difficult, ADJ 
semiconductors, NOUN 
spite, NOUN 

, SPACE 
difficulties, NOUN 
studies, NOUN 
SPE, PROPN 
ABO,-type, PROPN 
com-, NOUN 

, SPACE 
pounds, NOUN 
recently, ADV 
attracted, VERB 
interest, NOUN 

, SPACE 
unique, ADJ 
electrical, ADJ 
optical, ADJ 
properties, NOUN 

, SPACE 
ABO,-type, PROPN 
compounds, NOUN 
SrTiO, PROPN 
STO, PROPN 
widely, ADV 

, SPACE 
substrate, NOUN 
material, NOUN 
growth, NOUN 
high, ADJ 
temperature, NOUN 
super-, X 

, SPACE 
conducting, VERB 
films, NOUN 
barrier, NOUN 
layer, NOUN 

, SPACE 
intermediate, ADJ 
layer, NOUN 
superconducting, VERB 
devices, NOUN 
based, VERB 

, SPACE 
multilayer, ADJ 
