Original, ADJ 
Length, PROPN 
Article, NOUN 

, SPACE 
Stress, NOUN 
whitening, NOUN 
occurs, VERB 
demineralized, VERB 
bone, NOUN 

, SPACE 
M.R., PROPN 
Hardistya, PROPN 
b, PROPN 
T, PROPN 
C, NOUN 
.G, PUNCT 
r, NOUN 
c, NOUN 
ac, VERB 
S, PROPN 
.C, NOUN 
h, PROPN 
o, INTJ 
ya, PROPN 
J, PROPN 
.D, PROPN 
h, NOUN 
m, PROPN 
u, PROPN 
b, PROPN 
e, PROPN 
da, PROPN 
S.M., PROPN 
Stoverc, PROPN 
D.P., PROPN 
Fyhriea, PROPN 
b,⁎, NOUN 

, SPACE 
aLawrence, PROPN 
J, PROPN 
Ellison, PROPN 
Musculoskeletal, PROPN 
Research, PROPN 
Laboratory, PROPN 
Department, PROPN 
Orthopaedic, PROPN 
Surgery, PROPN 
UC, PROPN 
Davis, PROPN 
School, PROPN 
Medicine, PROPN 
UC, PROPN 
Davis, PROPN 
Sacramento, PROPN 
USA, PROPN 

, SPACE 
bBiomedical, PROPN 
Engineering, PROPN 
Graduate, PROPN 
Group, PROPN 
UC, PROPN 
Davis, PROPN 
Davis, PROPN 
USA, PROPN 

, SPACE 
cJD, NOUN 
Wheat, PROPN 
Veterinary, PROPN 
Orthopedic, PROPN 
Research, PROPN 
Laboratory, PROPN 
School, PROPN 
Veterinary, PROPN 
Medicine, PROPN 
UC, PROPN 
Davis, PROPN 
Davis, PROPN 
USA, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
19, NUM 
January, PROPN 
2013Revised, NUM 
29, NUM 
August, PROPN 
2013Accepted, NUM 
31, NUM 
August, PROPN 
2013, NUM 

, SPACE 
Available, ADJ 
online, ADJ 
17, NUM 
September, PROPN 
2013, NUM 

, SPACE 
Edited, VERB 
David, PROPN 
Burr, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
BiomechanicsScattering, PROPN 

, SPACE 
Cortical, ADJ 
bone, NOUN 

, SPACE 
Hansen, PROPN 
hydrogen, NOUN 
bonding, VERB 
potentialOpticsStress, NOUN 
induced, VERB 
whiteningIntroduction, NOUN 
incidence, NOUN 
age, NOUN 
related, VERB 
bone, NOUN 
fracture, NOUN 
increasing, VERB 
average, ADJ 
population, NOUN 
age, NOUN 
Bone, NOUN 
scatters, NOUN 

, SPACE 
light, NOUN 
stress, NOUN 
whitens, NOUN 
loading, NOUN 
immediately, ADV 
prior, ADV 
failure, NOUN 
manner, NOUN 
visually, ADV 
similar, ADJ 
polymer, NOUN 

, SPACE 
crazing, NOUN 
wish, VERB 
understand, VERB 
stress, NOUN 
whitening, VERB 
