Nuclear, PROPN 
Instmnents, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
108, NUM 
19, NUM 
75, NUM 
W, PROPN 

, SPACE 
Beam, PROPN 
InbmcWm, PROPN 

, SPACE 
MeMiaJs, PROPN 
6, NUM 
Atom8, NOUN 

, SPACE 
-4, PROPN 
SIMS, PROPN 
study, NOUN 
secondary, ADJ 
ion, NOUN 
formation, NOUN 

, SPACE 
low, ADJ 
energy, NOUN 
methyl, PROPN 
ion, PROPN 
beam, NOUN 
deposition, NOUN 

, SPACE 
Hideki, PROPN 
Ohno, PROPN 
a0, PROPN 
Yasushi, PROPN 
Aoki, PROPN 
Sir, PROPN 
o, PROPN 
Nagai, PROPN 
h, NOUN 

, SPACE 
Lkponmcnr~~c~., VERB 
MCLUI, PROPN 
Unmnm, PROPN 
2, NUM 
Hodokubo, PROPN 
HUUFsht, PROPN 
T&w, PROPN 
191, NUM 
Jupn, PROPN 

, SPACE 
Tdudi, PROPN 
Radititmn, PROPN 
Chrmistty, PROPN 
Rcstwrh, PROPN 
F&ir.duwn~., NOUN 
MERI, PROPN 
I2I.I, PROPN 
Watamulr+nacht, PROPN 
Takasabsdu, PROPN 

, SPACE 
Gunm;IT)-ttJapna, PROPN 

, SPACE 
Reened, VERB 
13, NUM 
March, PROPN 
1995, NUM 
revtxd, PROPN 
form, NOUN 
rcccrvad, PROPN 
17, NUM 
July, PROPN 
1995, NUM 

, SPACE 
sooondary, ADJ 
ion, NOUN 
crass, NOUN 
speuromctry, NOUN 
tSIMS, PROPN 
study, NOUN 
carried, VERB 
durmg, NOUN 
ion, NOUN 
beam, NOUN 
deposition, NOUN 
IO-, PROPN 
100, NUM 
eV, NUM 

, SPACE 
CH, PROPN 
CD, PROPN 
ions, NOUN 
Ml, PROPN 
1, NUM 
substrate, NOUN 
highly, ADV 
5, NUM 
Ifiis, ADJ 
icatui, NOUN 
low, ADJ 
energ, NOUN 
UM, PROPN 
heam, NOUN 
deposition, NOUN 
IBD, PROPN 

, SPACE 
apparatus, PROPN 
combined, PROPN 
wllh, PROPN 
surface, PROPN 
analy, PROPN 
systems, NOUN 
Seconda, PROPN 
+, X 
kc, PROPN 
nrbon, NOUN 
ion+, PROPN 
Wtaining, VERB 
carbon, NOUN 
atoms, NOUN 

, SPACE 
observed, VERB 
produced, VERB 
Pesults, NOUN 
obtained, VERB 
CD, PROPN 
iom, NOUN 
shoY.cd, PRON 
L&I, PROPN 
ion, NOUN 
dcpcnltmn, NOUN 
secondary, ADJ 
ion, NOUN 

, SPACE 
fomlatian, PROPN 
pmcesxs, PROPN 
dficrent, ADJ 
Hove, PROPN 
tincider, NOUN 
ti, NOUN 
n, ADV 
rgJ, NOUN 
30, NUM 
eV., PROPN 

, SPACE 

, SPACE 
1, NUM 
I-, PROPN 

, SPACE 
Ion, NOUN 
beam, NOUN 
deposition, NOUN 
IBD, PROPN 
direct, ADJ 
method, NOUN 

, SPACE 
producing, VERB 
thin, ADJ 
films, NOUN 
substrata, NOUN 
rcsing, VERB 
1, NUM 
w+nergy, NOUN 
ion, NOUN 

, SPACE 
beams, NOUN 
uhra, PROPN 
high, ADJ 
vacuum, NOUN 
W, PROPN 
W, PROPN 
Pr%ous, ADJ 
stud-, NOUN 

, SPACE 
kscmp&yingvarious, PROPN 
ionbcamsate, PROPN 
~, VERB 
lowefthan, PROPN 

, SPACE 
LeV, PROPN 
shown, VERB 
IBD, PROPN 
a&antages, NOUN 

, SPACE 
epitaxialgrowthofgoodayslallinefilmsevenatsub5-, X 

, SPACE 
trate, ADJ 
temperatures, NOUN 
l-31, NOUN 
lower, ADJ 
thme, NOUN 
molecular, ADJ 

, SPACE 
beam, NOUN 
epitaxy, PROPN 
WBE, PROPN 
chemical, NOUN 
vapor, NOUN 
deposition, NOUN 

, SPACE 
KVD, PROPN 
ii, PROPN 
synthesis, NOUN 
films, NOUN 
metastabk, NOUN 
phases, NOUN 

, SPACE 
diamond, NOUN 
4,5, NUM 
iii, PROPN 
formation, NOUN 
high, ADJ 
quality, NOUN 

, SPACE 
crysullline, PROPN 
films, NOUN 
l6.a, NOUN 
littk, PROPN 
known, VERB 

, SPACE 
effects, NOUN 
deposition, NOUN 
parameters, NOUN 
tn, VERB 

, SPACE 
structure, NOUN 
properties, NOUN 
ited, VERB 
films, NOUN 
princi-, ADJ 

, SPACE 
pal, ADJ 
parameters, NOUN 
inlBD, NOUN 
ion, NOUN 
specks, NOUN 
energy, NOUN 
cur-, VERB 

, SPACE 
rent, NOUN 
density, NOUN 
ion, NOUN 
beam, NOUN 
temperature, NOUN 
subs-, ADJ 

, SPACE 
trate, NOUN 
pressure, NOUN 
deposition, NOUN 
chamber, NOUN 

, SPACE 
final, ADJ 
goal, NOUN 
IBD, PROPN 
study, NOUN 
produce, VERB 
@line, NOUN 

, SPACE 
film, NOUN 
high, ADJ 
quality, NOUN 
axttrolling, VERB 
film, NOUN 
growth, NOUN 

, SPACE 
process, NOUN 
atomic, ADJ 
scale, NOUN 
approach, VERB 
goal, NOUN 

, SPACE 
nexxssary, ADJ 
perform, VERB 
IBD, PROPN 
experiments, NOUN 
highty, NOUN 

, SPACE 
sophisticated, ADJ 
apparatus, NOUN 
aI-, PROPN 
~018~., PROPN 
11, NUM 

, SPACE 
deposition, NOUN 
parameters, NOUN 
independently, ADV 
carry, VERB 

, SPACE 
real, ADJ 
time, NOUN 
observation, NOUN 
film, NOUN 
growth, NOUN 
pfxxxss, NOUN 

, SPACE 
purpose, NOUN 
IBD, PROPN 
apparatus, NOUN 
combined, VERB 

, SPACE 
surface, NOUN 
analysis, NOUN 
systems, NOUN 
designed, VERB 
constructed, VERB 

, SPACE 
apparatus, NOUN 
secondary, ADJ 
ion, NOUN 
mass, NOUN 
spectrome-, PROPN 

, SPACE 
try, VERB 
SIMS, PROPN 
study, NOUN 
carried, VERB 
bom-, NOUN 

, SPACE 
bardment, NOUN 
low, ADJ 
energy, NOUN 
CH, PROPN 
CD, PROPN 
ions, NOUN 
Si, PROPN 
11, NUM 

, SPACE 
l, NOUN 
Gxrc.ponding, NOUN 
author, NOUN 
Tel, PROPN 
+, PROPN 
81, NUM 
273, NUM 
46, NUM 
9422, NUM 
fax, NOUN 
+, CCONJ 
81, NUM 
Z73, PROPN 

, SPACE 
46, NUM 
9690, NUM 
rubrtrate, ADJ 
erpccterl, NOUN 
ht, DET 
scumdary, ADJ 
bdroarbon, NOUN 

, SPACE 
IO=, ADJ 
otattved, VERB 
provide, VERB 
.irformation, PUNCT 
cm, PROPN 

, SPACE 
growth, NOUN 
proocss, NOUN 
film, NOUN 
methI, PROPN 
cr, PROPN 
+, NOUN 
xxitint~, NOUN 

, SPACE 
u;l, X 
chemical, NOUN 
react-, NOUN 
Aween, PROPN 
in&k, PROPN 
metby, NOUN 

, SPACE 
ions, NOUN 
ad, NOUN 
substrate, ADJ 
surface, NOUN 
and/or, CCONJ 
betwea-, PROPN 
inci-, X 

