ELSEVIER, PROPN 
March, PROPN 
19, NUM 

, SPACE 
Materials, NOUN 
titters, NOUN 
26, NUM 
1996, NUM 
227, NUM 
231, NUM 

, SPACE 
Ferromagnetic, PROPN 
T, PROPN 
MIA, PROPN 
epitaxially, ADV 
grown, VERB 
100, NUM 
GaAs, PROPN 

, SPACE 
substrates, NOUN 
pulsed, VERB 
laser, NOUN 
deposition, NOUN 

, SPACE 
T.M., PROPN 
Rosier, PROPN 
Y.W., PROPN 
N.A., PROPN 
El, PROPN 
Masry, PROPN 

, SPACE 
Materials, PROPN 
Science, PROPN 
Engineering, PROPN 
Department, PROPN 
North, PROPN 
Carolina, PROPN 
State, PROPN 
University, PROPN 
Raleigh, PROPN 
NC, PROPN 
2769, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
11, NUM 
September, PROPN 
1995, NUM 
accepted, VERB 
15, NUM 
September, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Epitaxial, ADJ 
thin, ADJ 
films, NOUN 
T, PROPN 
MnAl, PROPN 
heen, AUX 
grown, VERB 
100, NUM 
GaAs, PROPN 
substrates, NOUN 
pulsed, VERB 
laser, NOUN 
deposition, NOUN 
Transmission, NOUN 

, SPACE 
electron, NOUN 
microscopy, NOUN 
magnetotmnsport, NOUN 
measurements, NOUN 
heen, AUX 
determine, VERB 
microstrucW, PROPN 
magnetic, ADJ 

, SPACE 
properties, NOUN 
films, NOUN 
High, ADJ 
resolution, NOUN 
transmission, NOUN 
electron, NOUN 
microscopy, NOUN 
shows, VERB 
deposited, ADJ 
MnAl, PROPN 
films, NOUN 

, SPACE 
lattice, NOUN 
constants, NOUN 
r, NOUN 
phase, NOUN 
u0, PROPN 
0.264, NUM 
nm, NOUN 
co, PROPN 
0.357, NUM 
nm, NOUN 
Magnetoresistance, PROPN 
measurements, NOUN 
yield, VERB 
hysteresis, NOUN 

, SPACE 
curves, NOUN 
verifying, VERB 
pexpendicular, ADJ 
magnetization, NOUN 
films, NOUN 
coexcivities, NOUN 
6.7, NUM 
kOe, NOUN 

, SPACE 
Keywords, NOUN 
7, NUM 
MnAI, PROPN 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
PLD, PROPN 
Ferromagnetic, ADJ 
thin, ADJ 
films, NOUN 
Epitaxial, PROPN 
GaAs, PROPN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
growth, NOUN 
single, ADJ 
crystal, NOUN 
ferromagnetic, ADJ 
films, NOUN 

, SPACE 
compound, NOUN 
semiconductor, NOUN 
substrates, NOUN 
offers, VERB 

, SPACE 
possibility, NOUN 
integrating, VERB 
magnetic, ADJ 
storage, NOUN 
media, NOUN 

, SPACE 
electronic, ADJ 
devices, NOUN 
potential, ADJ 
application, NOUN 
requires, VERB 

, SPACE 
magnetic, ADJ 
film, NOUN 
magnetization, NOUN 
perpendicu-, NOUN 

, SPACE 
lar, ADJ 
film, NOUN 
surface, NOUN 
uniaxial, ADJ 
anisotropy, PROPN 

, SPACE 
applications, NOUN 
include, VERB 
perpendicular, ADJ 
recording, NOUN 
media, NOUN 

, SPACE 
magneto, ADJ 
optic, ADJ 
data, NOUN 
storage, NOUN 
l, NOUN 
Ferromagnetic, ADJ 

, SPACE 
+, SYM 
InAl, PROPN 
thin, ADJ 
films, NOUN 
magnetic, ADJ 
properties, NOUN 

, SPACE 
meet, VERB 
requirements, NOUN 
storage, NOUN 
media, NOUN 

, SPACE 
tetragonal, ADJ 
crystal, NOUN 
structure, NOUN 
CuAu, PROPN 
type, NOUN 

, SPACE 
strong, ADJ 
magnetoclystalline, NOUN 
anisotropy, NOUN 
fa-, VERB 

, SPACE 
vors, NOUN 
c, NOUN 
axis, NOUN 
easy, ADJ 
magnetic, ADJ 
axis, NOUN 
21, NUM 
lattice, NOUN 

, SPACE 
constants, NOUN 
T, PROPN 
M, PROPN 
~, PROPN 
A~, PROPN 
=, NOUN 
0.277, NUM 
um, INTJ 
c, PROPN 
=, PROPN 
0.358, NUM 

, SPACE 
M, PROPN 
basal, NOUN 
plane, NOUN 
material, NOUN 
matches, NOUN 
a/2, PUNCT 

, SPACE 
100, NUM 
GaAs, PROPN 
substrates, NOUN 
T, PROPN 
MnAI, PROPN 
metastable, ADJ 

, SPACE 
phase, NOUN 
Curie, PROPN 
temperature, NOUN 
380, NUM 
°, NUM 
C, NOUN 
bulk, ADJ 

, SPACE 
saturation, NOUN 
magnetization, NOUN 
6.2, NUM 
kGauss, PROPN 
3, NUM 
groups, NOUN 
reported, VERB 
growth, NOUN 
lnAl, PROPN 

, SPACE 
films, NOUN 
varying, VERB 
quality, NOUN 
different, ADJ 
techniques, NOUN 

, SPACE 
include, VERB 
epitaxial, ADJ 
T, PROPN 
M, PROPN 
~, PROPN 
A~/A, PROPN 
