Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
112, NUM 
1996, NUM 
133, NUM 
138, NUM 

, SPACE 
ELSEVIER, PROPN 
Brm, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Observation, PROPN 
vacancy, NOUN 
clustering, NOUN 
FZ, PROPN 
Si, PROPN 
crystals, NOUN 
situ, NOUN 

, SPACE 
electron, NOUN 
irradiation, NOUN 
high, ADJ 
voltage, NOUN 
electron, NOUN 
microscope, NOUN 

, SPACE 
L., PROPN 
Fedina, PROPN 
a2c3, PUNCT 
J., PROPN 
Van, PROPN 
Landuyt, PROPN 
J., PROPN 
Vanhellemont, PROPN 
b, PROPN 
A.L., PROPN 
Aseev, PROPN 

, SPACE 
Uniuersiry, PROPN 
Antwerp, PROPN 
RCJCA, PROPN 
Groenenborgerlaan, PROPN 
171, NUM 
B-2020, NOUN 
Antwerp, PROPN 
Belgium, PROPN 

, SPACE 
b, PROPN 
IMEC, PROPN 
Kapeldreef, PROPN 
75, NUM 
B-3001, PROPN 
Leuven, PROPN 
Belgium, PROPN 

, SPACE 
Institute, PROPN 
Semiconductor, PROPN 
Physics, PROPN 
pr, PROPN 
ak, PROPN 
Lavrentjeva, PROPN 
13, NUM 
630090, NUM 
Novosibirsk, PROPN 
Russian, PROPN 
Federation, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Vacancy, PROPN 
accumulation, NOUN 
pure, ADJ 
FZ, PROPN 
Si, PROPN 
crystals, NOUN 
covered, VERB 
thin, ADJ 
Si, PROPN 
N, PROPN 
films, NOUN 
leads, VERB 
irradiation, NOUN 
high, ADJ 
intensity, NOUN 

, SPACE 
electron, NOUN 
beam, NOUN 
high, ADJ 
voltage, NOUN 
electron, NOUN 
microscope, NOUN 
HVEM, PROPN 
temperatures, NOUN 
20, NUM 
250, NUM 
°, NOUN 
C, NOUN 
suppression, NOUN 

, SPACE 
formation, NOUN 
113)-defects, NOUN 
interstitial, ADJ 
type, NOUN 
central, ADJ 
irradiated, VERB 
area, NOUN 
small, ADJ 
secondary, ADJ 
clusters, NOUN 

, SPACE 
interstitial, ADJ 
type, NOUN 
density, NOUN 
IO, PROPN 
cmm2, NOUN 
appear, VERB 
area, NOUN 
prolonged, VERB 
irradiation, NOUN 
Small, ADJ 
stacking, NOUN 

, SPACE 
fault, VERB 
tetrahedra, NOUN 
Frank, PROPN 
loops, NOUN 
vacancy, NOUN 
type, NOUN 
connected, VERB 
interstitial, ADJ 
clusters, NOUN 
analysed, VERB 
atomic, ADJ 
scale, NOUN 

, SPACE 
thinnest, ADJ 
