Vacuum, PROPN 
volume, NOUN 
47lnumber, PROPN 
l, NOUN 
pages, NOUN 
61, NUM 
6511996, NUM 

, SPACE 
Pergamon, PROPN 

, SPACE 
0042, NUM 
207x(95300029, NUM 
3, NUM 
Copyright, NOUN 
0, NUM 
1995, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0042, NUM 
207X/96, NUM 
$, SYM 
9.50+.00, PROPN 

, SPACE 
Kinetics, PROPN 
solid, ADJ 
phase, NOUN 
interactions, NOUN 
thin, ADJ 
film, NOUN 
Cu, PROPN 
Ti, PROPN 

, SPACE 
system, NOUN 
excess, NOUN 
Cu, PROPN 

, SPACE 
Tz, PROPN 
D, PROPN 
Uzunov, PROPN 
S, PROPN 
Lambov, PROPN 
St, PROPN 
P, PROPN 
Stojanov, PROPN 
Department, PROPN 
Physics, PROPN 
Chemistry, PROPN 
Faculty, PROPN 
Engineering, PROPN 

, SPACE 
Pedagogy, PROPN 
Technical, PROPN 
University, PROPN 
Sliven, PROPN 
8800, NUM 
Bulgaria, PROPN 

, SPACE 
received, VERB 
7, NUM 
March, PROPN 
1995, NUM 

, SPACE 
kinetics, NOUN 
formation, NOUN 
intermetallic, ADJ 
y, PROPN 
CuTi, PROPN 
Cu, PROPN 
Ti, PROPN 
phases, VERB 
isothermal, ADJ 
annealing, NOUN 
thin-, ADJ 

, SPACE 
film, NOUN 
Cu, PROPN 
Ti, PROPN 
systems, NOUN 
excess, NOUN 
Cu, PROPN 
investigated, VERB 
thin, ADJ 
film, NOUN 
systems, NOUN 
formed, VERB 

, SPACE 
preliminarily, ADV 
thermally, ADV 
oxidized, VERB 
Si, PROPN 
plates, NOUN 
Afler, NOUN 
annealing, VERB 
quantitative, ADJ 
phase, NOUN 
analysis, NOUN 

, SPACE 
electrochemical, ADJ 
anode, ADJ 
dissolution, NOUN 
carried, VERB 
experimentally, ADV 
proven, VERB 
formation, NOUN 

, SPACE 
intermetallic, ADJ 
phases, NOUN 
limited, VERB 
diffusion, NOUN 
processes, NOUN 
basis, NOUN 
Arrhenius, PROPN 
equation, NOUN 
activation, NOUN 

, SPACE 
energy, NOUN 
pre, ADJ 
exponential, ADJ 
coefficient, NOUN 
determined, VERB 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
previous, ADJ 
investigation, NOUN 
shown, VERB 
iso-, PRON 

, SPACE 
thermal, ADJ 
annealing, NOUN 
multi, ADJ 
layer, ADJ 
Cu, PROPN 
Ti, PROPN 
system, NOUN 
excess, NOUN 

, SPACE 
Cu, PROPN 
intermetallic, ADJ 
y, PROPN 
CuTi, PROPN 
P, PROPN 
Cu, PROPN 
Ti, PROPN 
compounds, NOUN 

, SPACE 
formed, VERB 
formation, NOUN 
y, PROPN 
CuTi, PROPN 
phase, NOUN 
observed, VERB 
mini-, PROPN 

, SPACE 
mum, NOUN 
annealing, VERB 
temperature, NOUN 
260, NUM 
°, NUM 
C, NOUN 
/?-Cu, NOUN 
Ti, PROPN 

, SPACE 
phase, NOUN 
300, NUM 
°, NUM 
C, NOUN 

, SPACE 
Reactive, PROPN 
diffusion, NOUN 
thermally, ADV 
evaporated, VERB 
thin, ADJ 
film, NOUN 
Cu, PROPN 
Ti, PROPN 

, SPACE 
system, NOUN 
excess, NOUN 
Cu, PROPN 
investigated, VERB 
Gershinskii, PROPN 

, SPACE 
et, PROPN 
al, PROPN 
defined, VERB 
parameters, NOUN 
formation, NOUN 
inter-, ADJ 

, SPACE 
metallic, NOUN 
compounds, VERB 
CuTi, PROPN 
Cu, PROPN 
Ti2, NOUN 
temperature, NOUN 
range, NOUN 

, SPACE 
40s500, NUM 
°, NOUN 
C, NOUN 
paper3, NOUN 
kinetic, ADJ 
parameters, NOUN 
growth, NOUN 

, SPACE 
CuTi, PROPN 
Cu, PROPN 
Ti, PROPN 
phases, VERB 
range, NOUN 
35@45O”C, NUM 
electron, NOUN 

, SPACE 
beam, NOUN 
deposited, VERB 
bi, NOUN 
layers, NOUN 
defined, VERB 

, SPACE 
paper, NOUN 
report, VERB 
kinetics, NOUN 
formation, NOUN 
inter-, ADJ 

, SPACE 
metallic, ADJ 
y, PROPN 
CuTi, PROPN 
/l, PROPN 
Cu, PROPN 
Ti, PROPN 
compounds, VERB 
types, NOUN 
thin-, ADJ 

, SPACE 
film, NOUN 
systems, NOUN 
excess, NOUN 
Cu, PROPN 
defined, VERB 
independent, ADJ 

, SPACE 
methods, NOUN 

, SPACE 
2, X 
Experimental, ADJ 
technique, NOUN 

, SPACE 
thin, ADJ 
film, NOUN 
Cu, PROPN 
Ti, PROPN 
systems, NOUN 
deposited, VERB 
magnetron, PROPN 
sput-, X 

, SPACE 
tering, NOUN 
Cu, PROPN 
Ti, PROPN 
Ar, PROPN 
gas, NOUN 
pressure, NOUN 
5, NUM 
x, SYM 
lo-, NOUN 
Pa., PUNCT 

, SPACE 
substrates, NOUN 
ambient, ADJ 
temperature, NOUN 
deposition, NOUN 

, SPACE 
layer, NOUN 
thickness, NOUN 
measured, VERB 
hi, NOUN 
fi, NOUN 
crystal, NOUN 
microbalance, NOUN 

, SPACE 
silica, PROPN 
plate, NOUN 

, SPACE 
types, NOUN 
sample, NOUN 
object, NOUN 
investigation, NOUN 

, SPACE 
multi, ADJ 
layer, ADJ 
film, NOUN 
systems, NOUN 
formed, VERB 
preliminarily, ADV 

, SPACE 
thermally, ADV 
oxidized, VERB 
111, NUM 
Si, PROPN 
plates, NOUN 
thickness, NOUN 
oxidized, VERB 

, SPACE 
layer, NOUN 
0.4, NUM 
pm, NOUN 
systems, NOUN 
consisted, VERB 
21, NUM 
sub, NOUN 
systems, NOUN 

, SPACE 
total, ADJ 
thickness, NOUN 
150, NUM 
nm, NOUN 
Cu-100, PROPN 
nm, PROPN 
Ti-50, PROPN 
nm, ADJ 
21, NUM 

, SPACE 
interphase, NOUN 
boundaries, NOUN 
Cu, PROPN 
Ti, PROPN 
respectively, ADV 
giving, VERB 

, SPACE 
atomic, ADJ 
ratio, NOUN 
Cu, PROPN 
Ti, PROPN 
=, NOUN 
3, NUM 
1, X 
specimens, NOUN 
bi, NOUN 
layer, NOUN 
Ti, PROPN 
total, ADJ 
thickness, NOUN 
200, NUM 
nm, NOUN 
Cu, PROPN 
400, NUM 
nm, PROPN 
thickness, NOUN 

, SPACE 
deposited, VERB 
silica, PROPN 
substrate, NOUN 

, SPACE 
specimens, NOUN 
isothermally, ADV 
annealed, VERB 
silica, PROPN 
ampoules, PROPN 

, SPACE 
residual, ADJ 
gas, NOUN 
pressure, NOUN 
lo-, ADV 
Pa, NOUN 
temperature, NOUN 
300, NUM 

, SPACE 
320, NUM 
340, NUM 
370, NUM 
400,420,440, NUM 
470, NUM 
°, NUM 
C, NOUN 
time, NOUN 
interval, NOUN 

, SPACE 
15, NUM 
540, NUM 
min, NOUN 

, SPACE 
