ELSEVIER, NOUN 
Bone, PROPN 
Vol, PROPN 
19, NUM 
Supplement, PROPN 

, SPACE 
July, PROPN 
1996:93S-99s, PROPN 

, SPACE 
1, NUM 

, SPACE 
2, X 

, SPACE 
3, X 

, SPACE 
4, X 
TISSUE, NOUN 
ENGINEERED, VERB 
BONE, NOUN 
REGENERATION, NOUN 
DEGRADABLE, PROPN 

, SPACE 
POLYMERS, NOUN 
FORMATION, NOUN 
MINERALIZED, PROPN 
MATRICES, NOUN 

, SPACE 
Cato, PROPN 
T., PROPN 
Laurencin”2’3’4, PROPN 
Mohamed, PROPN 
A., PROPN 
Attawia, PROPN 
Hoda, PROPN 
E., PROPN 
Elgendy, PROPN 
Kelly, PROPN 
M., PROPN 
Herbert, PROPN 

, SPACE 
Helen, PROPN 
I., PROPN 
Moorehead, PROPN 
Laurencin, PROPN 
Biomaterials, PROPN 
Research, PROPN 
Laboratory, PROPN 
Division, PROPN 
Health, PROPN 
Sciences, PROPN 

, SPACE 
Technology, PROPN 
Massachusetts, PROPN 
Institute, PROPN 
Technology, PROPN 
Cambridge, PROPN 
MA, PROPN 

, SPACE 
Department, PROPN 
Orthopaedic, PROPN 
Surgery, PROPN 
Medical, PROPN 
College, PROPN 
Pennsylvania, PROPN 
Hahnemann, PROPN 

, SPACE 
University, PROPN 
Philadelphia, PROPN 
PA, PROPN 

, SPACE 
Department, PROPN 
Chemical, PROPN 
Engineering, PROPN 
Drexel, PROPN 
University, PROPN 
Philadelphia, PROPN 
PA, PROPN 

, SPACE 
correspondence, NOUN 
addressed, VERB 
Medical, PROPN 
College, PROPN 
Pennsylvania, PROPN 
Hospital, PROPN 

, SPACE 
Department, PROPN 
Orthopaedic, PROPN 
Surgery, PROPN 
3300, NUM 
Henry, PROPN 
Avenue, PROPN 
Philadelphia, PROPN 
PA, PROPN 
19129, NUM 

, SPACE 
ABSTRACT, NOUN 

, SPACE 
development, NOUN 
3, NUM 
dimensional, ADJ 
cell, NOUN 
polymer, NOUN 
matrices, NOUN 
tissue, NOUN 
engineering, NOUN 
ability, NOUN 

, SPACE 
osteoblast, NOUN 
cel.ls, NOUN 
maintain, VERB 
phenotypic, ADJ 
properties, NOUN 
form, VERB 
mineralized, ADJ 
matrix, NOUN 
seeded, VERB 

, SPACE 
polymer, NOUN 
surface, NOUN 
important, ADJ 
Osteoblast, ADJ 
cell, NOUN 
differentiation, NOUN 
bone, NOUN 
formation, NOUN 
rat, NOUN 
calvaria, NOUN 

, SPACE 
cells, NOUN 
studied, VERB 
surface, NOUN 
porous, ADJ 
poly(lactide, PROPN 
glycolide)/hydroxyapatite, PROPN 
PLAGmA, PROPN 
3-, NUM 

, SPACE 
dimensional, ADJ 
polymer, NOUN 
matrix, NOUN 
Cell, NOUN 
adhesion, NOUN 
proliferation, NOUN 
determined, VERB 
24, NUM 
hr, NOUN 
3, NUM 
7, NUM 
14, NUM 
2, NUM 
1, NUM 

, SPACE 
days, NOUN 
Cell, NOUN 
attachment, NOUN 
proliferation, NOUN 
observed, VERB 
increase, VERB 
weeks, NOUN 

, SPACE 
study, NOUN 
followed, VERB 
period, NOUN 
gradual, ADJ 
plateauing, NOUN 
cell, NOUN 
numbers, NOUN 
Environmental, ADJ 
scanning, VERB 
electron, NOUN 

, SPACE 
microscopy, NOUN 
