Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
424, NUM 
428, NUM 

, SPACE 
cm, NOUN 
ti!z, PROPN 
mm, PROPN 

, SPACE 
ELSEVIER, PROPN 
h!lMl, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Physical, ADJ 
properties, NOUN 
lead, ADJ 
silicate, ADJ 
glassy, NOUN 
thin, ADJ 
films, NOUN 
deposited, VERB 

, SPACE 
sputtering, VERB 
Ar, PROPN 
H, PROPN 
mixtures, VERB 

, SPACE 
V., PROPN 
Rig&o, PROPN 
a*bT, PROPN 
D., PROPN 
Boscarino, PROPN 
G., PROPN 
Maggioni, PROPN 
G., PROPN 
Mariotto, PROPN 
J.C., PROPN 
Pivin, PROPN 
d, PROPN 
G., PROPN 
Della, PROPN 
Mea, PROPN 
e, NOUN 

, SPACE 
INFN, PROPN 
Laboratori, PROPN 
Nazionali, PROPN 
di, X 
Legnaro, PROPN 
35020, NUM 
Padova, PROPN 
Italy, PROPN 

, SPACE 
b, PROPN 
INFM, PROPN 
Dipartimento, PROPN 
di, X 
Fisica, PROPN 
Universith, PROPN 
di, X 
Padova, PROPN 
35131, NUM 
Padova, PROPN 
Italy, PROPN 

, SPACE 
INFM, PROPN 
Dipartimento, PROPN 
di, X 
Fisica, PROPN 
Universith, PROPN 
di, X 
Trento, PROPN 
38050, NUM 
Povo, PROPN 
Italy, PROPN 

, SPACE 
d, X 
CSNSM, PROPN 
Batiment, PROPN 
108,91405, NUM 
Orsay, PROPN 
Campus, PROPN 
France, PROPN 

, SPACE 
e, NOUN 
Dipartimento, PROPN 
di, PROPN 
Ingegneria, PROPN 
dei, NOUN 
Materiali, PROPN 
Universith, PROPN 
di, X 
Trento, PROPN 
38050, NUM 
Mesiano, PROPN 
Italy, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Lead, PROPN 
silicate, ADJ 
glassy, NOUN 
thin, ADJ 
films, NOUN 
obtained, VERB 
means, NOUN 
RF, PROPN 
Magnetron, PROPN 
Sputtering, PROPN 
different, ADJ 
plasma, NOUN 
gas, NOUN 

, SPACE 
mixtures, NOUN 
different, ADJ 
sputtering, ADJ 
targets, NOUN 
resulting, VERB 
coatings, NOUN 
composition, NOUN 
microstructure, NOUN 
optical, ADJ 

, SPACE 
electrical, ADJ 
properties, NOUN 
studied, VERB 
means, NOUN 
experimental, ADJ 
techniques, NOUN 
i.e., X 
nuclear, ADJ 
analysis, NOUN 
Raman, PROPN 

, SPACE 
spectroscopy, NOUN 
