Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
I7, VERB 
996, NUM 
42, NUM 
I-427, PUNCT 

, SPACE 
s, VERB 
i!B, PROPN 
ELFEVIER, PROPN 
NOM, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, NOUN 
8, NUM 
Atoms, NOUN 

, SPACE 
UV, NOUN 
quantum, NOUN 
efficiencies, NOUN 
organic, ADJ 
fluors, NOUN 

, SPACE 
C.H., PROPN 
Lally, PROPN 
G.J., PROPN 
Davies, PROPN 
W.G., PROPN 
Jones, PROPN 
N.J.T., PROPN 
Smith, PROPN 

, SPACE 
Blucketi, PROPN 
Luborurory, PROPN 
Imperiul, PROPN 
College, PROPN 
Prince, PROPN 
Consort, PROPN 
Road, PROPN 
London, PROPN 
SW7, PROPN 
282, NUM 
UK, PROPN 

, SPACE 
Received, VERB 
2, NUM 
1, NUM 
November, PROPN 
1995, NUM 
revised, VERB 
form, NOUN 
received, VERB 
13, NUM 
February, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
need, NOUN 
benefits, NOUN 
wavelength, VERB 
shifters, NOUN 
certain, ADJ 
dark, ADJ 
matter, NOUN 
scintillator, NOUN 
detectors, NOUN 
discussed, VERB 

, SPACE 
dependence, NOUN 
conversion, NOUN 
efficiency, NOUN 
thickness, NOUN 
incident, NOUN 
wavelength, NOUN 
extensively, ADV 
investigated, VERB 
evaporated, ADJ 

, SPACE 
coatings, NOUN 
p, NOUN 
terphenyl, NOUN 
tetraphenyl, NOUN 
butadiene, NOUN 
plastic, ADJ 
waveshifters, NOUN 
based, VERB 
p, NOUN 
terphenyl, NOUN 

, SPACE 
effect, NOUN 
varying, VERB 
p, NOUN 
terphenyl, NOUN 
concentration, NOUN 
studied, VERB 
factors, NOUN 
considered, VERB 
developing, VERB 

, SPACE 
use, NOUN 
UV, NOUN 
discussed, VERB 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
dark, ADJ 
matter, NOUN 
detectors, NOUN 
based, VERB 
ionization, NOUN 

, SPACE 
semiconductors, NOUN 
low, ADJ 
temperature, NOUN 
bolometric, NOUN 
tech-, PROPN 

, SPACE 
niques, NOUN 
study, NOUN 
1985, NUM 
recently, ADV 

, SPACE 
use, NOUN 
scintillators, NOUN 
widespread, ADJ 
2, NUM 

, SPACE 
suitable, ADJ 
scale, NOUN 
annual, ADJ 
modulation, NOUN 

, SPACE 
experiments, NOUN 
offer, VERB 
significant, ADJ 
discrimination, NOUN 

, SPACE 
nuclear, ADJ 
recoil, NOUN 
signal, VERB 
background, NOUN 

