Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
111, NUM 
1996, NUM 
17, NUM 
1-, NUM 
175, NUM 

, SPACE 

, SPACE 
NUNI, PROPN 
B, PROPN 

, SPACE 
ELSEVIER, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Position, PROPN 
sensitive, ADJ 
detection, NOUN 
individual, ADJ 
nuclear, ADJ 
particle, NOUN 
scintillations, NOUN 

, SPACE 
image, NOUN 
intensifier, ADJ 
tubes, NOUN 

, SPACE 
Amar, PROPN 
Sinha, PROPN 
a7, PROPN 
B.D., PROPN 
Bhawe, PROPN 
C.G., PROPN 
Panchal, PROPN 
A., PROPN 
Shyam, PROPN 
M., PROPN 
Srinivasan, PROPN 
V.M., PROPN 
Joshi, PROPN 
b, PROPN 

, SPACE 
Neutron, PROPN 
Physics, PROPN 
Division, PROPN 
Bhabha, PROPN 
Atomic, PROPN 
Research, PROPN 
Centre, PROPN 
Trombay, PROPN 
Bombay-400, PROPN 
085, NUM 
India, PROPN 

, SPACE 
b, PROPN 
Electronics, PROPN 
Division, PROPN 
Bhabha, PROPN 
Atomic, PROPN 
Research, PROPN 
Centre, PROPN 
Trombay, PROPN 
Bombay-400, PROPN 
08.5, NUM 
India, PROPN 

, SPACE 
Technical, PROPN 
Physics, PROPN 
Prototype, PROPN 
Engineering, PROPN 
Division, PROPN 
Bhabha, PROPN 
Atomic, PROPN 
Research, PROPN 
Centre, PROPN 
Trombay, PROPN 
Bombay-400, PROPN 
085, NUM 
India, PROPN 

, SPACE 
Received, VERB 
9, NUM 
June, PROPN 
1995, NUM 
revised, VERB 
form, NOUN 
received, VERB 
3, NUM 
October, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
imaging, NOUN 
position, NOUN 
sensitive, ADJ 
detector, NOUN 
charged, VERB 
particles, NOUN 
neutrons, NOUN 
X-, PROPN 
gamma, NOUN 
rays, NOUN 
developed, VERB 

, SPACE 
novel, ADJ 
feature, NOUN 
scintillation, NOUN 
imaging, VERB 
radiation, NOUN 
detector, NOUN 
ability, NOUN 
detect, VERB 
individual, ADJ 
nuclear, ADJ 
particle, NOUN 
scintillations, NOUN 

, SPACE 
high, ADJ 
degree, NOUN 
spatial, ADJ 
resolution, NOUN 
key, ADJ 
elements, NOUN 
detector, NOUN 
system, NOUN 
high, ADJ 
gain, NOUN 
low, ADJ 
noise, NOUN 
image, NOUN 
intensifier, ADJ 

, SPACE 
tube, NOUN 
CCD, PROPN 
camera, NOUN 
commercially, ADV 
available, ADJ 
image, NOUN 
