ELSEVIER, NOUN 
Aquatic, PROPN 
Toxicology, PROPN 
34, NUM 
1996, NUM 
119, NUM 
l, NOUN 
33, NUM 

, SPACE 
Formation, NOUN 
DNA, PROPN 
adducts, NOUN 
gill, ADJ 
tissue, NOUN 

, SPACE 
Mytilus, PROPN 
galloprovincialis, NOUN 
treated, VERB 
benzo[a]pyrene, NOUN 

, SPACE 
Paola, PROPN 
Venier, PROPN 
Sabrina, PROPN 
Canova, PROPN 

, SPACE 
University, PROPN 
Padua, PROPN 
Department, PROPN 
Biology, PROPN 
Viu, PROPN 
Trieste, PROPN 
75, NUM 
35121, NUM 
Paha, PROPN 
Italy, PROPN 

, SPACE 
Received, VERB 
13, NUM 
March, PROPN 
1995, NUM 
revised, VERB 
1, NUM 
June, PROPN 
1995, NUM 
accepted, VERB 
30, NUM 
June, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
formation, NOUN 
DNA, NOUN 
adducts, NOUN 
evident, ADJ 
treatment, NOUN 
spawned, VERB 
resting, VERB 
Mediterra-, PROPN 

, SPACE 
nean, ADJ 
mussels, NOUN 
Mytilus, PROPN 
galloprovincialis, PROPN 
Lmk, PROPN 
0.5%100, PROPN 
l, PROPN 
benzo[a]pyrene, NOUN 
2, NUM 
3, NUM 

, SPACE 
days, NOUN 
Reference, NOUN 
DNA, PROPN 
samples, NOUN 
vitro, X 
radiolabelled, VERB 
0.5, NUM 
5, NUM 
.50pM, PUNCT 
3H, PROPN 
anti, PROPN 
-B[a]P, NOUN 
diol-, NOUN 

, SPACE 
epoxide, NOUN 
initially, ADV 
compare, VERB 
DNA, NOUN 
purification, NOUN 
procedures, NOUN 
Following, VERB 
stand-, NOUN 

, SPACE 
ard, ADJ 
step, NOUN 
extraction, NOUN 
starting, VERB 
phenol, NOUN 
comparison, NOUN 
simplified, ADJ 
single, ADJ 
step, NOUN 
extrac-, NOUN 

, SPACE 
tion, NOUN 
phenol, NOUN 
obtained, VERB 
lower, ADJ 
yields, NOUN 
bound, VERB 
radioactivity, NOUN 
reference, NOUN 
DNA, NOUN 

, SPACE 
samples, NOUN 
simplified, ADJ 
DNA, NOUN 
purification, NOUN 
nuclease, NOUN 
Pl, PROPN 
enhanced, VERB 
3’P, NUM 
postlabelling, VERB 
assay, NOUN 

, SPACE 
detected, VERB 
reproducible, ADJ 
dose, ADJ 
dependent, ADJ 
increase, NOUN 
specific, ADJ 
spot, NOUN 
gills, NOUN 
mussels, NOUN 
treated, VERB 

, SPACE 
B[a]P, NUM 
spot, NOUN 
present, ADJ 
low, ADJ 
amounts, NOUN 
Short, ADJ 
2, NUM 
days, NOUN 
prolonged, VERB 
27, NUM 

, SPACE 
days, NOUN 
pretreatment, NOUN 
mussels, NOUN 
polychlorinated, ADJ 
biphenyl, NOUN 
mixture, NOUN 
Aroclor, PROPN 
1254, NUM 

, SPACE 
increase, VERB 
levels, NOUN 
B[a]P, ADV 
related, VERB 
adducts, NOUN 
results, NOUN 
indicate, VERB 
formation, NOUN 

, SPACE 
detectable, ADJ 
amounts, NOUN 
DNA, NOUN 
reactive, NOUN 
intermediates, NOUN 
gills, NOUN 
mussels, NOUN 
treated, VERB 
B[a]P., PROPN 

, SPACE 
pathway, NOUN 
formation, NOUN 
molecular, ADJ 
identity, NOUN 
specific, ADJ 
adducts, NOUN 
remain, VERB 

, SPACE 
unclear, ADJ 
presence, NOUN 
suggests, VERB 
polycyclic, NOUN 
aromatic, ADJ 
hydrocarbons, NOUN 
cause, VERB 
genetic, ADJ 
dam-, NOUN 

, SPACE 
age, NOUN 
marine, ADJ 
mussels, NOUN 

, SPACE 
Keywords, NOUN 
DNA, NOUN 
adducts, NOUN 
Benzo[a]pyrene, PROPN 
Mytilus, PROPN 
galloprovincialis, PROPN 
2P, NOUN 
postlabelling, ADJ 

, SPACE 
Abbreviations, PROPN 

, SPACE 
H, PROPN 
BPDE, PROPN 
H, NOUN 
anti, PROPN 
+, ADJ 
-trans-7,8, ADV 
dihydroxy, VERB 
anti-9,10, ADJ 
epoxy-7,8,9,1O, NOUN 
tetrahydro-, PROPN 

, SPACE 
benzo[a]pyrene, PROPN 
B[a]P, PROPN 
benzo[a]pyrene, PROPN 
dG, PROPN 
deoxyguanosine, NOUN 
