Pergamon, PROPN 

, SPACE 
0025, NUM 
326X(95)00218, NUM 
9, NUM 
Marine, PROPN 
Pohfion, PROPN 
Bulletin, PROPN 
Vol, PROPN 
32, NUM 
5, NUM 
pp, PROPN 
397403, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0025, NUM 
326X/96, NUM 
$, SYM 
15.00, NUM 
+, NUM 
0.00, NUM 

, SPACE 
Distribution, PROPN 
Partitioning, PROPN 

, SPACE 
Polychlorinated, PROPN 
Dibenzo, PROPN 
p, NOUN 
dioxins, NOUN 

, SPACE 
Polychlorinated, PROPN 
Dibenzofurans, PROPN 

, SPACE 
Polychlorinated, ADJ 
Biphenyls, PROPN 

, SPACE 
Humber, PROPN 
Estuary, PROPN 
UK, PROPN 

, SPACE 
A., NOUN 
0, NUM 
TYLER*$, PROPN 
G., PROPN 
E., PROPN 
MILLWARD, PROPN 

, SPACE 
British, PROPN 
Maritime, PROPN 
Technology, PROPN 
Grove, PROPN 
House, PROPN 
5, NUM 
Ocean, PROPN 
Way, PROPN 
Ocean, PROPN 
Village, PROPN 
Southampton, PROPN 
Hampshire, PROPN 
SOI, PROPN 
1, PROPN 
TJ, PROPN 
UK, PROPN 

, SPACE 
TDepartment, PROPN 
Environmental, PROPN 
Sciences, PROPN 
University, PROPN 
Plymouth, PROPN 
Drake, PROPN 
Circus, PROPN 
Plymouth, PROPN 
Devon, PROPN 
PL4, PROPN 
8AA, PROPN 
UK, PROPN 

, SPACE 
fAuthor, PROPN 
correspondence, NOUN 
addressed, VERB 

, SPACE 
distribution, NOUN 
concentration, NOUN 
polycblorinated, VERB 

, SPACE 
dibenzo, NOUN 
para, NOUN 
dioxins, NOUN 
PCDDs, PROPN 
polychlorinated, VERB 
dibenzo-, NOUN 

, SPACE 
furans, NOUN 
PCDFs, NOUN 
polychlorinated, VERB 
biphenyls, NOUN 
PCBs, NOUN 

, SPACE 
Humber, PROPN 
Estuary, PROPN 
bed, NOUN 
sediment, NOUN 
suspended, VERB 

, SPACE 
particulate, NOUN 
matter, NOUN 
extensively, ADV 
studied, VERB 
Dioxin, PROPN 

, SPACE 
concentrations, NOUN 
sediments, NOUN 
ranged, VERB 
detection, NOUN 

, SPACE 
3830, NUM 
pg, PROPN 
g-, PROPN 
PCB, NOUN 
concentrations, NOUN 
non-, NUM 

, SPACE 
detectable, ADJ 
84, NUM 
ng, NOUN 
g-, X 
concentrations, NOUN 
low, ADJ 

, SPACE 
comparison, NOUN 
estuaries, NOUN 
concentrations, NOUN 

, SPACE 
chlorinated, VERB 
organics, NOUN 
found, VERB 
correlated, VERB 

, SPACE 
sediment, ADJ 
lipid, NOUN 
content, NOUN 
significant, ADJ 
factor, NOUN 

, SPACE 
determining, VERB 
contaminant, ADJ 
distribution, NOUN 
Humber, PROPN 

, SPACE 
Estuary, PROPN 
Laboratory, NOUN 
experiments, NOUN 
carried, VERB 

, SPACE 
C, NOUN 
radiolabelled, VERB 
compounds, NOUN 
determine, VERB 
partition, NOUN 

, SPACE 
coefficients, NOUN 
K,-, PROPN 
KD, PROPN 
2.5, NUM 
x, SYM 
lo5, NOUN 
determined, VERB 

, SPACE 
2,3,7,8, NUM 
TCDD, NOUN 
6.4, NUM 
x, SYM 
lo4, NOUN 
2,2’,5,5’-TCB, PROPN 

, SPACE 
vary, VERB 
significantly, ADV 
salinity, NOUN 

, SPACE 
evidence, NOUN 
concentration, NOUN 
data, NOUN 
homolog, NOUN 

, SPACE 
profiles, NOUN 
contamination, NOUN 
tributaries, NOUN 

, SPACE 
Humber, PROPN 
Estuary, PROPN 
penetrated, VERB 
estuary, NOUN 
significant, ADJ 

, SPACE 
quantities, NOUN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
occurrence, NOUN 
chlorinated, ADJ 
organic, ADJ 
compounds, NOUN 

, SPACE 
marine, ADJ 
environment, NOUN 
international, ADJ 
concern, NOUN 

, SPACE 
persistence, NOUN 
toxicity, NOUN 
bioaccumulation, NOUN 

, SPACE 
lipid, ADJ 
tissues, NOUN 
marine, ADJ 
biota, NOUN 
Delbeke, PROPN 
Joiris, PROPN 

, SPACE 
1988, NUM 
Gribble, PROPN 
1994, NUM 
Tanabe, PROPN 
et, PROPN 
al, PROPN 
1994, NUM 
Chlorinated, ADJ 

, SPACE 
organic, ADJ 
compounds, NOUN 
include, VERB 
dioxins, NOUN 
comprising, VERB 
poly-, NOUN 

, SPACE 
chlorinated, VERB 
dibenzo, NOUN 
para, NOUN 
dioxins, NOUN 
PCDDs, PROPN 
polychlor-, NOUN 

, SPACE 
inated, VERB 
dibenzofurans, NOUN 
PCDFs, NOUN 
polychlorinated, VERB 

, SPACE 
biphenyls, NOUN 
PCBs, NOUN 
compounds, NOUN 

, SPACE 
studied, VERB 
marine, PROPN 
environment, NOUN 

, SPACE 
coming, VERB 
closer, ADJ 
scrutiny, NOUN 
following, VERB 
publication, NOUN 

, SPACE 
recent, ADJ 
EPA, PROPN 
review, NOUN 
toxicity, NOUN 
dioxins, NOUN 

, SPACE 
EPA, PROPN 
1994a, NUM 
c, NOUN 
Humber, PROPN 
Estuary, PROPN 
north, NOUN 
east, PROPN 

, SPACE 
UK, PROPN 
considered, VERB 
important, ADJ 
source, NOUN 

, SPACE 
pollutants, NOUN 
North, PROPN 
Sea, PROPN 
North, PROPN 
Sea, PROPN 
Task, PROPN 
Force, PROPN 
1993, NUM 
high, ADJ 
concentrations, NOUN 
dioxins, NOUN 

, SPACE 
detected, VERB 
bed, NOUN 
sediments, NOUN 
mouth, NOUN 

, SPACE 
Estuary, PROPN 
Evers, PROPN 
et, PROPN 
al, PROPN 
1993, NUM 
Tyler, PROPN 
et, PROPN 
al, PROPN 
1994, NUM 
found, VERB 

, SPACE 
little, ADJ 
evidence, NOUN 
contamination, NOUN 
lower, ADJ 
Humber, PROPN 

, SPACE 
Estuary, PROPN 
coastal, ADJ 
sites, NOUN 
UK, PROPN 

, SPACE 
possible, ADJ 
sources, NOUN 

, SPACE 
chlorinated, VERB 
organics, NOUN 
marine, ADJ 
environment, NOUN 

, SPACE 
concern, NOUN 
expressed, VERB 
National, PROPN 
Rivers, PROPN 

, SPACE 
Authority, PROPN 
NRA, PROPN 
significant, ADJ 
concentrations, NOUN 

, SPACE 
dioxins, NOUN 
sediments, NOUN 
vicinity, NOUN 
chlorophenol, ADJ 

, SPACE 
plant, NOUN 
located, VERB 
tributary, NOUN 
River, PROPN 
Rother, PROPN 

, SPACE 
NRA, PROPN 
1994, NUM 
approximately, ADV 
70, NUM 
km, NOUN 
south, NOUN 
east, NOUN 

, SPACE 
River, PROPN 
Trent, PROPN 
Fig, PROPN 
la, PROPN 
mechanisms, NOUN 

, SPACE 
dioxins, VERB 
transported, VERB 
sources, NOUN 

, SPACE 
estuaries, NOUN 
largely, ADV 
unknown, ADJ 
hydrophobic, NOUN 

, SPACE 
nature, NOUN 
compounds, NOUN 
suggests, VERB 
particle-, CCONJ 

, SPACE 
water, NOUN 
interactions, NOUN 
involving, VERB 
suspended, VERB 
particulate, NOUN 

, SPACE 
matter, NOUN 
SPM, PROPN 
significant, ADJ 
Murphy, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
1994, NUM 
Hegeman, PROPN 
et, PROPN 
al, PROPN 
1995, NUM 

, SPACE 
paper, NOUN 
presents, VERB 
results, NOUN 
compre-, NUM 

, SPACE 
hensive, ADJ 
survey, NOUN 
PCDDs, NOUN 
PCDFs, NOUN 
PCBs, NOUN 
bed, NOUN 

, SPACE 
sediments, NOUN 
SPM, PROPN 
Humber, PROPN 
Estuary, PROPN 
study, VERB 

, SPACE 
partitioning, VERB 
behaviour, NOUN 
14C, ADV 
labelled, VERB 
dioxin, NOUN 

, SPACE 
PCB, NOUN 
compounds, NOUN 

, SPACE 
Materials, PROPN 
Methods, PROPN 

, SPACE 
Sampling, PROPN 

, SPACE 
Samples, NOUN 
collected, VERB 
surveys, NOUN 

, SPACE 
Humber, PROPN 
estuary, NOUN 
limited, ADJ 
inter, ADJ 
tidal, ADJ 
sampling, NOUN 
survey, NOUN 

, SPACE 
carried, VERB 
summer, NOUN 
1991, NUM 
Ministry, PROPN 

, SPACE 
Agriculture, PROPN 
Fisheries, PROPN 
Food, PROPN 
MAFF, PROPN 

, SPACE 
CIROLANA, ADJ 
1991, NUM 
cruise, NOUN 
extensive, ADJ 
estuary, ADJ 

, SPACE 
survey, NOUN 
October, PROPN 
1993, NUM 
Sediment, NOUN 
samples, NOUN 

, SPACE 
collected, VERB 
Shipek, PROPN 
grab, NOUN 
sub, ADJ 
tidal, ADJ 
samples, NOUN 

, SPACE 
hand, NOUN 
inter, ADJ 
tidal, ADJ 
samples, NOUN 
samples, NOUN 

, SPACE 
stored, VERB 
hexane, NOUN 
washed, VERB 
glass, NOUN 
jars, NOUN 
foil, NOUN 
cap, NOUN 
liners, NOUN 

, SPACE 
Suspended, VERB 
particulate, NOUN 
matter, NOUN 
collected, VERB 
bulk, ADJ 

, SPACE 
filtration, NOUN 
-750, PROPN 
1000, NUM 
ml, NOUN 
0.7, NUM 
pm, NOUN 
hexane-, NUM 

, SPACE 
397, NUM 

, SPACE 
Marine, PROPN 
Pollution, PROPN 
Bulletin, PROPN 

, SPACE 
Total, PROPN 
FCDD, PROPN 
Humber, PROPN 
Estuary, PROPN 

, SPACE 
F%lQ, PROPN 

, SPACE 
0, NUM 
rd.499, PROPN 
B--, ADP 
IMYINGWIM, PROPN 

, SPACE 
