Original, ADJ 
Length, PROPN 
Article, NOUN 

, SPACE 
Elevated, VERB 
cross, NOUN 
talk, NOUN 
subchondral, ADJ 
bone, NOUN 
cartilage, NOUN 
osteoarthritic, ADJ 
joints, NOUN 

, SPACE 
Jun, PROPN 
Pana, PROPN 
b,⁎⁎, PROPN 
Bin, PROPN 
Wanga, PROPN 
b, PROPN 
Wen, PROPN 
Lib, PROPN 
Xiaozhou, PROPN 
Zhoub, PROPN 
Thomas, PROPN 
Scherrb, PROPN 
Yunyi, PROPN 
Yangb, PROPN 

, SPACE 
Christopher, PROPN 
Priceb, PROPN 
Liyun, PROPN 
Wangb,⁎, PROPN 

, SPACE 
aKey, PROPN 
Laboratory, PROPN 
Biorheological, PROPN 
Science, PROPN 
Technology, PROPN 
Ministry, PROPN 
Education, PROPN 
Bioengineering, PROPN 
College, PROPN 
Chongqing, PROPN 
University, PROPN 
Chongqing, PROPN 
4000, NUM 
44, NUM 
PR, PROPN 
China, PROPN 

, SPACE 
bCenter, PROPN 
Biomedical, PROPN 
Engineering, PROPN 
Research, PROPN 
Department, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
University, PROPN 
Delaware, PROPN 
Newark, PROPN 
DE, PROPN 
19716, NUM 
USA, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
9, NUM 
September, PROPN 
2011, NUM 

, SPACE 
Revised, VERB 
20, NUM 
November, PROPN 
2011Accepted, NUM 
29, NUM 
November, PROPN 
2011Available, NUM 
online, ADJ 
16, NUM 
December, PROPN 
2011, NUM 

, SPACE 
Keyword, PROPN 
Calciﬁed, PROPN 
cartilage, NOUN 

, SPACE 
Osteochondral, PROPN 
interface, NOUN 

, SPACE 
Permeability, PROPN 

, SPACE 
AgeingDestabilized, PROPN 
medial, ADJ 
meniscusOsteoarthritis, PROPN 
OA, PROPN 
degenerative, ADJ 
joint, ADJ 
disease, NOUN 
leading, VERB 
causes, NOUN 
disability, NOUN 
United, PROPN 

, SPACE 
States, PROPN 
world, NOUN 
disease, NOUN 
joint, NOUN 
OA, PROPN 
exhibits, VERB 
complicated, ADJ 
etiology, NOUN 
risk, NOUN 
fac-, ADJ 

, SPACE 
tors, NOUN 
including, VERB 
limited, VERB 
ageing, NOUN 
altered, VERB 
joint, ADJ 
loading, NOUN 
injury, NOUN 
Subchondral, ADJ 
bone, NOUN 
hypothesized, VERB 

, SPACE 
involved, VERB 
OA, PROPN 
development, NOUN 
direct, ADJ 
evidence, NOUN 
supporting, VERB 
lacking, VERB 
previouslydetected, VERB 
measurable, ADJ 
transport, NOUN 
solute, NOUN 
mineralized, ADJ 
calci, NOUN 
