Vacuum, PROPN 
volume, NOUN 
47lnumbers, PROPN 
6, NUM 
8, NUM 
pages, NOUN 
1035, NUM 
1038t1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Published, VERB 
Elsevier, ADJ 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 
Pergamon, PROPN 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96300119, PROPN 
4, NUM 
0042, NUM 
207X/56, PROPN 
$, SYM 
15.00+.00, NUM 

, SPACE 
Computational, PROPN 
simulations, NOUN 
electron, NOUN 
orbits, NOUN 

, SPACE 
magnetron, NOUN 
sputtering, VERB 
plasmas, PROPN 

, SPACE 
Shunji, PROPN 
Ido, PROPN 
Kosuke, PROPN 
Nakamura, PROPN 
Department, PROPN 
Functional, PROPN 
Materials, PROPN 
Science, PROPN 
faculty, NOUN 
Engineering, PROPN 

, SPACE 
Saitama, PROPN 
University, PROPN 
255, NUM 
Shimo, PROPN 
Okubo, PROPN 
Urawa, PROPN 
Saitama, PROPN 
338, NUM 
Japan, PROPN 

, SPACE 
dimensional, ADJ 
particle, NOUN 
orbit, NOUN 
simulations, NOUN 
carried, VERB 
analyze, VERB 
electron, NOUN 
orbits, NOUN 
magnetron, ADJ 

, SPACE 
sputtering, NOUN 
system, NOUN 
Collisions, NOUN 
electrons, NOUN 
neutral, ADJ 
Ar, PROPN 
gas, NOUN 
atoms, NOUN 
included, VERB 
Monte, PROPN 
Carlo, PROPN 

, SPACE 
method, NOUN 
Ionization, NOUN 
points, NOUN 
related, VERB 
plasma, NOUN 
generation, NOUN 
points, NOUN 
approximate, VERB 
distribution, NOUN 

, SPACE 
plasmas, NOUN 
magnetron, ADJ 
sputtering, VERB 
system, NOUN 
profiles, NOUN 
plasma, NOUN 
distribution, NOUN 
correspond, VERB 
shape, NOUN 

, SPACE 
magnetic, ADJ 
field, NOUN 
increase, NOUN 
ionization, NOUN 
points, NOUN 
obtained, VERB 
increasing, VERB 
glow, ADJ 
discharge, NOUN 
voltage, NOUN 

, SPACE 
Copyright, NOUN 
0, NUM 
1996, NUM 
Published, VERB 
Elsevier, ADJ 
Science, PROPN 
Ltd., PROPN 

, SPACE 
Introduction, NOUN 

, SPACE 
characteristics, NOUN 
magnetron, ADJ 
sputtering, NOUN 
system, NOUN 
trap, VERB 

, SPACE 
electrons, NOUN 
magnetic, ADJ 
field, NOUN 
maintains, VERB 
plasma, NOUN 
state, NOUN 

, SPACE 
low, ADJ 
voltage, NOUN 
electrons, NOUN 
trapped, VERB 
magnetic, ADJ 
field, NOUN 

, SPACE 
ionize, VERB 
neutral, ADJ 
particles, NOUN 
collisions, NOUN 
positive, ADJ 
ions, NOUN 

, SPACE 
plasmas, NOUN 
accelerated, VERB 
target, NOUN 
electric, ADJ 
field, NOUN 

, SPACE 
result, NOUN 
bombardment, NOUN 
target, NOUN 
causes, VERB 
sputtering, NOUN 

, SPACE 
Sputtered, PROPN 
atoms, NOUN 
deposited, VERB 
substrate, NOUN 
form, VERB 
thin, ADJ 

, SPACE 
films, NOUN 
process, NOUN 
sputtering, VERB 
magnetron, ADJ 
sputtering, VERB 

, SPACE 
system, NOUN 

, SPACE 
distribution, NOUN 
plasmas, PROPN 
depends, VERB 
geometry, NOUN 

, SPACE 
magnetic, ADJ 
fields, NOUN 
design, VERB 
sputtering, VERB 
system, NOUN 
effectively, ADV 

, SPACE 
analysis, NOUN 
relation, NOUN 
plasmas, PROPN 
magnetic, ADJ 
fields, NOUN 

, SPACE 
necessary, ADJ 
Simulations, NOUN 
carried, VERB 
trace, VERB 
electron, NOUN 
orbits, NOUN 

, SPACE 
collisions, NOUN 
examine, VERB 
distribution, NOUN 
plasmas, NOUN 

, SPACE 
previous, ADJ 
studies, NOUN 
simulations, NOUN 
carried, VERB 
examine, VERB 

, SPACE 
electron, NOUN 
orbits, NOUN 
collisions, NOUN 
magnetron, ADJ 
sputtering, VERB 

, SPACE 
system, NOUN 
considering, VERB 
collision, NOUN 
effects,3, NOUN 
authors, NOUN 

, SPACE 
developed, VERB 
simulation, NOUN 
code, NOUN 
trace, VERB 
electron, NOUN 
orbit, NOUN 
including, VERB 

, SPACE 
collisions, NOUN 
electron, NOUN 
neutral, ADJ 
atoms, NOUN 

, SPACE 
magnetron, ADJ 
sputtering, NOUN 
system, NOUN 
examining, VERB 
distribution, NOUN 
ol, ADJ 

, SPACE 
ionization, NOUN 
collision, NOUN 
points, NOUN 
shape, NOUN 
plasmas, PROPN 
erosion, NOUN 

, SPACE 
profiles, NOUN 
studied, VERB 
compressed, ADJ 
magnetic, ADJ 
field, NOUN 
magnetron, NOUN 

, SPACE 
sputtering, NOUN 
system, NOUN 
proposed, VERB 
Hata’~, NOUN 
studied, VERB 

, SPACE 
experimentally, ADV 
computationally.5~7, ADJ 
types, NOUN 
particle, NOUN 

, SPACE 
simulation, NOUN 
applied, VERB 
computational, ADJ 
experimental, ADJ 
studies, NOUN 

, SPACE 
analyze, VERB 
features, NOUN 
magnetron, PROPN 
sputtering, NOUN 
systems, NOUN 
“m’5, X 

, SPACE 
present, ADJ 
paper, NOUN 
authors, NOUN 
discuss, VERB 
availability, NOUN 

, SPACE 
control, NOUN 
magnetic, ADJ 
fields, NOUN 
reference, NOUN 
system, NOUN 
rectangular, ADJ 

, SPACE 
magnetron, NOUN 
effect, NOUN 
control, NOUN 
glow, NOUN 
discharge, NOUN 
volt-, PUNCT 

, SPACE 
age, NOUN 

, SPACE 
Calculation, NOUN 
model, NOUN 

, SPACE 
Magnetron, PROPN 
sputtering, VERB 
system, NOUN 
Figure, NOUN 
1, NUM 
shows, VERB 
schematic, NOUN 

, SPACE 
reference, NOUN 
model, NOUN 
compressed, VERB 
magnetic, ADJ 
field, NOUN 
