ELSEVIER, PROPN 
October, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
28, NUM 
1996, NUM 
341, NUM 
346, NUM 

, SPACE 
Matrix, PROPN 
mediated, VERB 
control, NOUN 
morphology, NOUN 
para, NOUN 
nitroaniline, NOUN 

, SPACE 
dispersed, VERB 
polymeric, ADJ 
composites, NOUN 

, SPACE 
S., PROPN 
Radhakrishnan, PROPN 
C., PROPN 
Saujanya, PROPN 

, SPACE 
Polyner, PROPN 
Science, PROPN 
Engineering, PROPN 
National, PROPN 
Chemical, PROPN 
Laboratory, PROPN 
Pune, PROPN 
411008, NUM 
India, PROPN 

, SPACE 
Received, VERB 
20, NUM 
December, PROPN 
1995, NUM 
revised, VERB 
23, NUM 
February, PROPN 
1996, NUM 
accepted, VERB 
8, NUM 
March, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
structure, NOUN 
morphology, NOUN 
para, PROPN 
nitroaniline, NOUN 
dispersed, VERB 
polymers, NOUN 
polymethyl, PROPN 
methacrylate, PROPN 

, SPACE 
polyvinyl, ADJ 
alcohol, PROPN 
polvinyl, NOUN 
acetate, NOUN 
polyethylene, NOUN 
oxide, NOUN 
investigated, VERB 
X, NOUN 
ray, NOUN 
diffraction, NOUN 
optical, ADJ 
polarizing, NOUN 

, SPACE 
microscopy, NOUN 
function, NOUN 
composition, NOUN 
low, ADJ 
concentrations, NOUN 
material, NOUN 
showed, VERB 
little, ADJ 
structure, NOUN 
concentrations, NOUN 

, SPACE 
40, NUM 
high, ADJ 
crystallinity, NOUN 
observed, VERB 
cases, NOUN 
crystal, NOUN 
structure, NOUN 
conformed, VERB 
monoclinic, ADJ 

, SPACE 
=, PROPN 
12.33, NUM 
h, NOUN 
=, X 
6.07, NUM 
c, NOUN 
=, NUM 
8.59, NUM 
l3, PROPN 
=, VERB 
91.45, NUM 
intensities, NOUN 
different, ADJ 
peaks, NOUN 
especially, ADV 
101, NUM 
012, NUM 
reflections, NOUN 

, SPACE 
type, NOUN 
growth, NOUN 
habit, NOUN 
morphology, NOUN 
strongly, ADV 
dependent, ADJ 
polymer, NOUN 

, SPACE 
Keywords, NOUN 
Morphology, NOUN 
Para, PROPN 
nitroaniline, NOUN 
Dispersed, VERB 
Polymeric, ADJ 
composites, NOUN 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
Polymer, PROPN 
dispersed, VERB 
electroactive, ADJ 
photoactive, ADJ 

, SPACE 
materials, NOUN 
drawn, VERB 
considerable, ADJ 
attention, NOUN 
recent, ADJ 

, SPACE 
years, NOUN 
potential, ADJ 
applications, NOUN 
opto-, DET 

, SPACE 
electronics, NOUN 
especially, ADV 
large, ADJ 
area, NOUN 
components, NOUN 

, SPACE 
devices, NOUN 
l-4, PROPN 
cases, NOUN 
optically, ADV 
active, ADJ 

, SPACE 
material, NOUN 
liquid, ADJ 
crystal, NOUN 
compound, NOUN 
LC, NOUN 

, SPACE 
