ELSEVIER, PROPN 
EkthandPlanetaryScienceLetters, VERB 
139(19%)411, NUM 
421, NUM 

, SPACE 
Sorption, NOUN 
diffusion, NOUN 
helium, NOUN 
garnet, NOUN 

, SPACE 
volatile, ADJ 
tracing, NOUN 
dating, VERB 

, SPACE 
T.J., PROPN 
Dunai, PROPN 
K., PROPN 
Roselieb, PROPN 
b, PROPN 
EPSL, PROPN 

, SPACE 
implications, NOUN 

, SPACE 
Institutfiir, PROPN 
Isotopengeologie, PROPN 
und, VERB 
Mineralische, PROPN 
Rohstoffe, PROPN 
ETH, PROPN 
Zentrum, PROPN 
8092, NUM 
Ziirich, PROPN 
Switzerland, PROPN 

, SPACE 
b, PROPN 
Mineralogisch, PROPN 
Petrologisches, PROPN 
Institut, PROPN 
Unioersitiit, PROPN 
Giittingen, PROPN 
GoldschmidtstraJe, PROPN 
37077, NUM 
Giittingen, PROPN 
FRG, PROPN 

, SPACE 
Received, VERB 
29, NUM 
December, PROPN 
1995, NUM 
accepted, VERB 
14, NUM 
February, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
present, VERB 
data, NOUN 
sorption, NOUN 
garnet, NOUN 
obtained, VERB 
loading, VERB 
garnet, NOUN 
samples, NOUN 
250, NUM 
+, SYM 
10, NUM 
bar, NOUN 
temperature, NOUN 

, SPACE 
range, NOUN 
800, NUM 
990, NUM 
°, NUM 
C, NOUN 
temperature, NOUN 
range, NOUN 
find, VERB 
fold, ADJ 
decrease, NOUN 
sorption, NOUN 
2.1, NUM 
10F5, NUM 
800, NUM 
°, NOUN 
C, NOUN 

, SPACE 
0.72, NUM 
lo-, PUNCT 
cm3, VERB 
STPg-, PROPN 
bar-, X 
990, NUM 
°, NUM 
C, NOUN 
use, VERB 
sorption, NOUN 
data, NOUN 
partially, ADV 
saturated, VERB 
samples, NOUN 
obtain, VERB 
activation, NOUN 

, SPACE 
energy, NOUN 
E, NOUN 
=, NOUN 
660, NUM 
k, NOUN 
g, PROPN 
kJ, PROPN 
mol, PROPN 
frequency, ADJ 
factor, NOUN 
D, PROPN 
=, NOUN 
1015, NUM 
~, SYM 
q+**~s~2, PROPN 
cm2, NOUN 
s, X 
>, X 
diffusion, NOUN 
garnet, NOUN 

, SPACE 
results, NOUN 
study, NOUN 
suggest, VERB 
garnet, NOUN 
probably, ADV 
retentive, ADJ 
silicate, ADJ 
minerals, NOUN 

, SPACE 
agreement, NOUN 
low, ADJ 
ion, NOUN 
porosity, NOUN 
high, ADJ 
retentivity, NOUN 
results, NOUN 
high, ADJ 
closure, NOUN 
temperature, NOUN 
T, NOUN 
U, PROPN 
+, PROPN 
Th)-He, PROPN 

, SPACE 
system, NOUN 
cooling, VERB 
rates, NOUN 
low, ADJ 
O.l, PROPN 
l”C, PROPN 
Ma, PROPN 
T, PROPN 
lies, VERB 
590, NUM 
630, NUM 
°, NUM 
C, NOUN 
Accordingly, ADV 
U, NOUN 
+, NOUN 
Th)-He, NOUN 
dating, NOUN 

, SPACE 
garnet, NOUN 
provide, VERB 
information, NOUN 
medium, NOUN 
high, ADJ 
temperature, NOUN 
cooling, VERB 
path, NOUN 
rock, NOUN 
lower, ADJ 
end, NOUN 

, SPACE 
temperature, NOUN 
range, NOUN 
currently, ADV 
isotopic, ADJ 
systems, NOUN 
garnet, NOUN 
addition, NOUN 
high, ADJ 
retentivity, NOUN 
makes, VERB 
garnet, NOUN 

, SPACE 
potentially, ADV 
useful, ADJ 
mineral, NOUN 
field, NOUN 
exposure, NOUN 
age, NOUN 
dating, VERB 
Currently, ADV 
known, VERB 
common, ADJ 
silicate, NOUN 
mineral, NOUN 

, SPACE 
occurring, VERB 
upper, ADJ 
crustal, NOUN 
rocks, NOUN 
probably, ADV 
retains, VERB 
cosmogenic, ADJ 
noble, ADJ 
gases, NOUN 
climatic, ADJ 
conditions, NOUN 

, SPACE 
geochemical, ADJ 
studies, NOUN 
noble, ADJ 
gases, NOUN 
tracers, NOUN 
geofluids, NOUN 
garnet, NOUN 
perfect, ADJ 
container, NOUN 
temperatures, NOUN 
exceed, VERB 

, SPACE 
600, NUM 
°, NOUN 
C, NOUN 
originally, ADV 
trapped, VERB 
noble, ADJ 
gases, NOUN 
quantitatively, ADV 
retained, VERB 

, SPACE 
Keywords, NOUN 
U, PROPN 
helium, NOUN 
garnet, NOUN 
group, NOUN 
diffusion, NOUN 
sorption, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Diffusion, PROPN 
studies, NOUN 
helium, NOUN 
natural, ADJ 
samples, NOUN 

, SPACE 
directed, VERB 
assessing, VERB 
suitability, NOUN 
min-, X 

, SPACE 
era1, NOUN 
dating, VERB 
l-3, PROPN 
ability, NOUN 
mineral, NOUN 
preserve, VERB 
geochemically, ADV 
relevant, ADJ 
noble, ADJ 
gas, NOUN 
signa-, ADJ 

, SPACE 
ture, NOUN 
fluid, ADJ 
inclusions, NOUN 
lattice, NOUN 
4, NUM 
61, NUM 
Helium, NOUN 

, SPACE 
measurements, NOUN 
garnet, NOUN 
object, NOUN 
present, ADJ 

, SPACE 
study, NOUN 
potential, ADJ 
applications, NOUN 
fields, NOUN 

, SPACE 
dating, VERB 
geochemical, ADJ 
tracing, NOUN 
Ther-, PROPN 

, SPACE 
mochronological, ADJ 
information, NOUN 
low, ADJ 
temperature, NOUN 

, SPACE 
currently, ADV 
decay, NOUN 
schemes, NOUN 
potentially, ADV 

, SPACE 
available, ADJ 
application, NOUN 
U, PROPN 
+, PROPN 
Th)-He, PROPN 
method, NOUN 

, SPACE 
l, NOUN 
Corresponding, PROPN 
author, NOUN 
Present, ADJ 
address, NOUN 
Isotopegeology, PROPN 
Aard-, ADP 
garnet, NOUN 
field, NOUN 
exposure, NOUN 
age, NOUN 
dating, NOUN 

, SPACE 
wetenschappen, NOUN 
Vxije, PROPN 
Universiteit, PROPN 
Amsterdam, PROPN 
De, PROPN 
Boelelaan, PROPN 
1085, NUM 
garnet, NOUN 
prove, VERB 
useful, ADJ 
supplementing, VERB 
quartz, NOUN 

, SPACE 
1081, NUM 
HV, PROPN 
Amsterdam, PROPN 
Netherlands, PROPN 
Fax, NOUN 
+31, NOUN 
20, NUM 
6462457, NUM 
feldspars, VERB 
areas, NOUN 
outcrops, NOUN 
ultramatic, ADJ 

, SPACE 
E, NOUN 
mail, NOUN 
dunt@geo.vu.nl, PROPN 
rocks, NOUN 
missing, VERB 
geochemical, ADJ 
studies, NOUN 

, SPACE 
0032, NUM 
821X/%/$12.00, NUM 
8, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SO0, PROPN 
12, NUM 
82, NUM 
1, NUM 
X(96)00029, PROPN 
5, NUM 

, SPACE 
412, NUM 
TJ, PROPN 
Dunai, ADJ 
K., PROPN 
Roselieb, PROPN 
Earth, PROPN 
Planetary, PROPN 
Science, PROPN 
Letters, PROPN 
I39, PROPN 
1996, NUM 
41, NUM 
I-42, NOUN 

, SPACE 
noble, ADJ 
gases, NOUN 
tracers, NOUN 
fluids, NOUN 

, SPACE 
continental, ADJ 
crust, NOUN 
garnet, NOUN 
holds, VERB 
promise, NOUN 
date, NOUN 

, SPACE 
common, ADJ 
mineral, NOUN 
crust, NOUN 

, SPACE 
shown, VERB 
preserve, VERB 
primary, ADJ 
high, ADJ 
grade, NOUN 
fluid, NOUN 

, SPACE 
inclusions, NOUN 
7, NUM 
91, NUM 
Furthermore, ADV 
garnet, NOUN 
able, ADJ 
pre-, VERB 

, SPACE 
serve, VERB 
relics, NOUN 
ancient, ADJ 
noble, ADJ 
gas, NOUN 
signatures, NOUN 

, SPACE 
lo-121, ADJ 

, SPACE 
present, VERB 
sorption, NOUN 
data, NOUN 
garnets, NOUN 

, SPACE 
loaded, VERB 
temperatures, NOUN 
800, NUM 

, SPACE 
990, NUM 
°, NUM 
C, NOUN 
data, NOUN 
derive, VERB 
activation, NOUN 

, SPACE 
energy, NOUN 
frequency, ADJ 
factor, NOUN 
diffusion, NOUN 
gar-, PROPN 

, SPACE 
net, NOUN 
results, NOUN 
discussed, VERB 
context, NOUN 

, SPACE 
garnet, NOUN 
geochronological, ADJ 
geochemical, ADJ 

, SPACE 
tracer, NOUN 
studies, NOUN 

, SPACE 
2, X 
Sample, NOUN 
material, NOUN 

, SPACE 
garnets, NOUN 
experiments, NOUN 
alman-, ADV 

, SPACE 
dine, ADJ 
rich, ADJ 
pyropes, NOUN 
minor, ADJ 
grossular, NOUN 
spessar-, ADJ 

, SPACE 
tine, NOUN 
components, NOUN 
Pyr, NOUN 
Alm, PROPN 
Gro, PROPN 
Sp, PROPN 

, SPACE 
contained, VERB 
traces, NOUN 
P, NOUN 
O, INTJ 
TiO, NOUN 
0.1, NUM 
0.02, NUM 

, SPACE 
wt%, PRON 
respectively, ADV 
Fe+3, PROPN 
Fe2f, PROPN 
ratios, NOUN 
varied, VERB 

, SPACE 
0.02, NUM 
0.04, NUM 
Mbssbauer, PROPN 
spectroscopy, NOUN 
W., PROPN 

, SPACE 
Lottermoser, PROPN 
pers, NOUN 
commun, NOUN 
tumbled, ADJ 
material, NOUN 

, SPACE 
comes, VERB 
Orissa, PROPN 
India, PROPN 
mined, VERB 
com-, NOUN 

, SPACE 
mercial, ADJ 
purposes, NOUN 
precise, ADJ 
location, NOUN 
mining, NOUN 

, SPACE 
operation, NOUN 
unknown, ADJ 

, SPACE 
individual, ADJ 
stone, NOUN 
0, NUM 
5, NUM 
10, NUM 
mm, NOUN 
in-, ADV 

, SPACE 
spected, VERB 
immersion, NOUN 
oil, NOUN 
binocular, ADJ 
micro-, NOUN 

, SPACE 
scope, NOUN 
transmitted, VERB 
reflected, VERB 
light, NOUN 
Transmit-, PROPN 

, SPACE 
ted, VERB 
light, NOUN 
reveals, VERB 
compact, ADJ 
inclusions, NOUN 
whilst, SCONJ 
reflected, VERB 

, SPACE 
light, NOUN 
essential, ADJ 
reveal, VERB 
rutile, ADJ 
needles, NOUN 
stones, NOUN 

, SPACE 
visible, ADJ 
inclusions, NOUN 
4O, ADJ 
fold, ADJ 
magnification, NOUN 

, SPACE 
discarded, VERB 
potential, ADJ 
sample, NOUN 
material, NOUN 
optical, ADJ 

, SPACE 
examination, NOUN 
facilitated, VERB 
smooth, ADJ 
pol-, NOUN 

, SPACE 
ished, VERB 
surfaces, NOUN 
tumbled, ADJ 
stones, NOUN 
crushing, VERB 

, SPACE 
sieving, VERB 
individual, ADJ 
garnets, NOUN 
prepared, VERB 

, SPACE 
following, VERB 
grain, NOUN 
size, NOUN 
fractions, NOUN 
6, NUM 
l, NOUN 
1, NUM 
pm, NOUN 
1, NUM 
l-20, CCONJ 

, SPACE 
pm, NOUN 
11, NUM 
30, NUM 
pm, NOUN 
30, NUM 
60, NUM 
pm, NOUN 
120, NUM 
145, NUM 
pm, NOUN 

, SPACE 
Grain, PROPN 
sizes, VERB 
>, X 
30, NUM 
pm, NOUN 
dry, ADJ 
sieved, VERB 

, SPACE 
smaller, ADJ 
grain, NOUN 
sizes, NOUN 
sieved, VERB 
filter, NOUN 
pressing, VERB 

, SPACE 
acetone, NOUN 
avoid, VERB 
adhesion, NOUN 

, SPACE 
smallest, ADJ 
grain, NOUN 
sizes, NOUN 
nominal, ADJ 
6, NUM 
l, NOUN 
1, NUM 
11, NUM 
20, NUM 

, SPACE 
1, NUM 
l-30, NOUN 
pm, NOUN 
grain, NOUN 
size, NOUN 
fractions, NOUN 
contain, VERB 
variable, NOUN 

, SPACE 
significant, ADJ 
amounts, NOUN 
40, NUM 
vol.%, NOUN 

, SPACE 
smaller, ADJ 
grains, NOUN 
small, ADJ 
0.5, NUM 
pm, NOUN 
0.5, NUM 
pm, NOUN 

, SPACE 
lower, ADJ 
detection, NOUN 
limit, NOUN 
Ultra, ADJ 
fine, ADJ 
Particle, PROPN 
Ana-, PROPN 
lyzer, NOUN 
UPA, PROPN 
precise, ADJ 
knowledge, NOUN 

, SPACE 
actual, ADJ 
grain, NOUN 
sizes, NOUN 
small, ADJ 
grain, NOUN 
size, NOUN 

, SPACE 
fractions, NOUN 
crucial, ADJ 
use, VERB 

, SPACE 
obtain, VERB 
saturation, NOUN 
concentrations, NOUN 
Low, ADV 
tempera-, VERB 

, SPACE 
ture, NOUN 
diffusive, ADJ 
loss, NOUN 
finest, ADJ 
grains, NOUN 

, SPACE 
occur, VERB 
needs, VERB 
taken, VERB 
consideration, NOUN 

, SPACE 
determining, VERB 
saturation, NOUN 
concentrations, NOUN 
be-, NOUN 

, SPACE 
low, ADJ 
grain, NOUN 
size, NOUN 
distribution, NOUN 
30, NUM 
60, NUM 
pm, NOUN 

, SPACE 
fraction, NOUN 
median, NOUN 
45, NUM 
pm, NOUN 
UPA, PROPN 

, SPACE 
value, NOUN 
later, ADV 
diffusion, NOUN 
calcula-, VERB 

, SPACE 
tions, NOUN 
120, NUM 
145, NUM 
pm, NOUN 
fraction, NOUN 
coarse, ADJ 

, SPACE 
UPA, PROPN 
geometric, ADJ 
mean, NOUN 

, SPACE 
132.5, NUM 
pm, NOUN 
later, ADJ 
calculations, NOUN 
grains, NOUN 

, SPACE 
optically, ADV 
examined, VERB 
found, VERB 
roughly, ADV 

, SPACE 
spherical, ADJ 
appreciably, ADV 
elongated, VERB 
Spheres, NOUN 

, SPACE 
manufactured, VERB 
garnets, NOUN 
cutting, VERB 

, SPACE 
garnets, NOUN 
cubes, NOUN 
subsequently, ADV 
abrading, VERB 

, SPACE 
following, VERB 
method, NOUN 
Bond, PROPN 
13, NUM 
Diameters, NOUN 

, SPACE 
fabricated, ADJ 
garnet, NOUN 
spheres, NOUN 
maximum, ADJ 
vari-, ADJ 

, SPACE 
ability, NOUN 
1, NUM 
Diameters, NOUN 
determined, VERB 
optically, ADV 

, SPACE 
mechanically, ADV 
given, VERB 
Table, PROPN 
1, NUM 

, SPACE 
3, X 
Methods, NOUN 

, SPACE 
structural, ADJ 
considerations, NOUN 
compari-, NOUN 

, SPACE 
son, NOUN 
garnet, PROPN 
ion, NOUN 
porosity, NOUN 
olivine, NOUN 

, SPACE 
expected, VERB 
similar, ADJ 
higher, ADJ 
retentivity, NOUN 

, SPACE 
garnet, NOUN 
olivine, NOUN 
143, NUM 
step, NOUN 
wise, ADJ 
heating, NOUN 

, SPACE 
experiments, NOUN 
carried, VERB 
tempera-, ADJ 

, SPACE 
tures, NOUN 
greater, ADJ 
900, NUM 
°, NOUN 
C, NOUN 
release, VERB 
accurately, ADV 
mea-, ADJ 

, SPACE 
surable, ADJ 
fractions, NOUN 
reasonable, ADJ 
time, NOUN 
garnets, NOUN 

, SPACE 
contained, VERB 
0.3, NUM 
2.5, NUM 
1O-6, NUM 
cm3STP, ADJ 
g, PROPN 
radiogenic, ADJ 

, SPACE 
4He, NUM 
temperatures, NOUN 
almandine, NOUN 

, SPACE 
component, NOUN 
meta, ADJ 
stable, ADJ 
reaction, NOUN 
almandine, NOUN 

, SPACE 
fayalite, ADJ 
+, ADJ 
cordierite, NOUN 
+, ADJ 
herzynite, NOUN 
+, ADJ 
fluid, NOUN 
located, VERB 

, SPACE 
N, PROPN 
82O”C, NUM 
250, NUM 
bar, NOUN 
fo2, ADJ 
IW, PROPN 
IM, PROPN 
1153, NUM 

, SPACE 
garnet, NOUN 
experiments, NOUN 
considerable, ADJ 

, SPACE 
almandine, NOUN 
component, NOUN 
anticipated, VERB 
unstable, ADJ 
be-, ADP 

, SPACE 
haviour, NOUN 
samples, NOUN 
vacua, PROPN 
heating, NOUN 

, SPACE 
experiments, NOUN 
dismissed, VERB 
idea, NOUN 

, SPACE 
conventional, ADJ 
step, NOUN 
wise, ADJ 
heating, NOUN 
experiments, NOUN 

, SPACE 
impossible, ADJ 
prove, VERB 
meta-, ADJ 

, SPACE 
stability, NOUN 
samples, NOUN 
experiments, NOUN 

, SPACE 
High, ADJ 
temperature, NOUN 
release, NOUN 
experiments, NOUN 

, SPACE 
allow, VERB 
investigations, NOUN 
phase, NOUN 
transitions, NOUN 
con-, NOUN 

, SPACE 
ducted, VERB 
reconnaissance, NOUN 
stage, NOUN 
project, NOUN 

, SPACE 
found, VERB 
unsuitable, ADJ 
highly, ADV 
variable, ADJ 

, SPACE 
T.J., PROPN 
