ELSEVIER, PROPN 
Journal, PROPN 
O, PROPN 
~, PRON 
anometallic, ADJ 
Chemistry, PROPN 
523, NUM 
1996, NUM 
167, NUM 
178, NUM 
journal, PROPN 
orurgang, PROPN 

, SPACE 
metallic, ADJ 
t.:nemistry, PUNCT 

, SPACE 
Macrocyclic, ADJ 
diphosphine, NOUN 
ligands, NOUN 
asymmetric, ADJ 
carbon, NOUN 
carbon, NOUN 

, SPACE 
bond, NOUN 
forming, VERB 
reactions, NOUN 

, SPACE 
Michael, PROPN 
Widhalm, PROPN 
a., NOUN 
Petra, PROPN 
Wimmer, PROPN 
Gerd, PROPN 
Klintschar, PROPN 
b, PROPN 

, SPACE 
b, NOUN 
~, NOUN 
stiuafi, PROPN 
~, PUNCT 
r, NOUN 
Or,~anische, PROPN 
Chemic, PROPN 
hffversiti, ADV 
~, PROPN 
t, PROPN 
Wiet~, PROPN 
WiJhringerstrafle, PROPN 
38, NUM 
A-1090, VERB 
Wien, PROPN 
Austria, PROPN 

, SPACE 
b, CCONJ 
Institutfiir, PROPN 
Physikalische, PROPN 
Chemic, PROPN 
Univers'iti, PROPN 
~, PROPN 
t, PROPN 
Graz, PROPN 
Ih'im'ichstrafle, NUM 
28, NUM 
A-8010, PROPN 
Gra, PROPN 
Aostria, PROPN 

, SPACE 
Received, VERB 
17, NUM 
January, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Seven, NUM 
chiral, ADJ 
macrocyclic, ADJ 
ligands, NOUN 
potential, ADJ 
O2P~, NOUN 
NzP, PROPN 
2, NUM 
coordination, NOUN 
sites, NOUN 
owing, VERB 
chirality, NOUN 
incorporation, NOUN 

, SPACE 
axial, ADJ 
chiral, ADJ 
binaphthyl, PROPN 
unit, NOUN 
chiml, NOUN 
auxiliaries, NOUN 
transition, NOUN 
metal, NOUN 
catalyzed, VERB 
carbon, NOUN 
carbon, NOUN 
bond, NOUN 
forming, VERB 
reactions, NOUN 

, SPACE 
model, NOUN 
reactions, NOUN 
investigated, VERB 
enantioselectivities, NOUN 
discussed, VERB 
basis, NOUN 
accepted, VERB 
mechanistic, ADJ 
pathways, NOUN 
X, NOUN 
ray, NOUN 

, SPACE 
structural, ADJ 
analyses, NOUN 

, SPACE 
Kcywords, NOUN 
Chiral, ADJ 
diphosphines, NOUN 
Maerocyclic, PROPN 
ligands, NOUN 
Asymmetric, PROPN 
allylic, ADJ 
alkylation, NOUN 
X, NOUN 
ray, NOUN 
structural, ADJ 
analyses, NOUN 
P, NOUN 
dladium, NOUN 
Nickel, PROPN 

, SPACE 
I., PROPN 
Introduction, PROPN 

, SPACE 
past, ADJ 
decade, NOUN 
progressively, ADV 
extensive, ADJ 
stud-, X 

, SPACE 
ies, NOUN 
fi)cused, VERB 
formation, NOUN 
asymmetric, PROPN 
quater-, PROPN 

, SPACE 
nt, PROPN 
~, NOUN 
ry, ADP 
carbon, NOUN 
centers, NOUN 
catalysis, NOUN 
chiral, ADJ 
trm, PROPN 
~, PROPN 
si-, NOUN 

, SPACE 
lion, NOUN 
metal, NOUN 
complexes, NOUN 
large, ADJ 
number, NOUN 
reports, NOUN 
h, PROPN 
~, NOUN 
s, AUX 

, SPACE 
published, VERB 
summarized, VERB 
review, NOUN 

, SPACE 
articles, NOUN 
books, NOUN 
I,2, X 
tlighlights, NOUN 
palladium, NOUN 

, SPACE 
nickel, NOUN 
catalyzed, VERB 
cross, NOUN 
°, NOUN 
coupling, VERB 
reactions, NOUN 
fer-, NOUN 

, SPACE 
rocene, NOUN 
ligands, NOUN 
affording, VERB 
3, NUM 
pbenyl, NOUN 
l, NOUN 
butene, ADJ 
biaryls, VERB 

, SPACE 
witli, NOUN 
94, NUM 
95, NUM 
e.e, PROPN 
~, VERB 
spectively, ADV 
3,4, NUM 

, SPACE 
palladium, NOUN 
catalyzed, VERB 
ailylic, ADJ 
substitution, NOUN 
reactions, NOUN 

, SPACE 
realized, VERB 
suecessfitlly, ADV 
P, PROPN 
P, PROPN 
P, PROPN 
N, PROPN 

, SPACE 
N, PROPN 
N, PROPN 
ligands, NOUN 
5, NUM 

, SPACE 
results, NOUN 
encouraged, VERB 
investigate, VERB 
de-, PROPN 

, SPACE 
pendence, NOUN 
asymmetric, ADJ 
induction, NOUN 
distance, NOUN 

, SPACE 
asymmetric, ADJ 
moiety, NOUN 
transition, NOUN 
metal, NOUN 

, SPACE 
center, NOUN 
Simple, ADJ 
model, NOUN 
compounds, VERB 
like, ADP 
2A-6A, NUM 
6a, NOUN 
b, NUM 

, SPACE 
10A, NUM 
IA, PROPN 
tested, VERB 
typical, ADJ 
catalytic, ADJ 

, SPACE 
reactions, NOUN 
local, ADJ 
C, NOUN 
s, PART 
symmetry, NOUN 
diphosphine, NOUN 

, SPACE 
sub, NOUN 
unit, NOUN 
cis, PROPN 
P, PROPN 
phenyl, NOUN 
groups, NOUN 
constitutes, VERB 
achiral, ADJ 

, SPACE 
array, NOUN 
near, ADP 
transition, NOUN 
metal, NOUN 
chiral, ADJ 
disturbance, NOUN 

, SPACE 
introduced, VERB 
C2, PROPN 
symmetricai, PROPN 
binaphthyl, PROPN 
unit, NOUN 

, SPACE 
held, VERB 
varying, VERB 
distance, NOUN 
transition, NOUN 
metal, NOUN 

, SPACE 
center, NOUN 
means, NOUN 
polymethylene, NOUN 
spacer, NOUN 

, SPACE 
Corresponding, PROPN 
author, NOUN 

, SPACE 
0022, NUM 
328X/96/$15.00, NUM 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Pll, PROPN 
S0022, PROPN 
328X(96)0625, PROPN 
I-, PROPN 
chains, VERB 
introducing, VERB 
different, ADJ 
degrees, NOUN 
chiral, ADJ 
inter-, ADJ 

, SPACE 
action, NOUN 
obvious, ADJ 
direct, ADJ 
rehttionship, NOUN 

, SPACE 
asymmetric, ADJ 
induction, NOUN 
distance, NOUN 

, SPACE 
chir, PROPN 
~, PROPN 
li, PROPN 
center, PROPN 
transition, NOUN 
met;tl, PROPN 
based, VERB 
roug, NOUN 
h, NOUN 

, SPACE 
simplification, NOUN 
existence, NOUN 
preferred, VERB 
con, NOUN 
°, NUM 

, SPACE 
formation, NOUN 
spacer, NOUN 
determines, VERB 
~tctual, PROPN 
dist, NOUN 
~, NOUN 
mce, PROPN 

, SPACE 
expected, VERB 
con'elation, NOUN 
ob-, PRON 

, SPACE 
served, VERB 
high, ADJ 
conlbrmative, ADJ 
flexibility, NOUN 
polymethy, ADJ 

, SPACE 
lene, NOUN 
chain, NOUN 
unrestricted, ADJ 
access, NOUN 
reactants, NOUN 

, SPACE 
complexation, NOUN 
sites, NOUN 
exist, VERB 

, SPACE 
addition, NOUN 
dioxa, ADJ 
diphospha, NOUN 
ligands, NOUN 
diaza, PROPN 
=, SYM 
di-, X 

, SPACE 
phospha, PROPN 
ligands, NOUN 
investigated, VERB 
intro-, PROPN 

, SPACE 
d, PROPN 
n, NOUN 
nitrogen, NOUN 
donor, NOUN 
atoms, NOUN 
improve, VERB 

, SPACE 
efl, ADJ 
ncy, PROPN 
catalysts, NOUN 
nitrogen, NOUN 
atoms, NOUN 

, SPACE 
offer, VERB 
additional, ADJ 
complexation, NOUN 
site, NOUN 

, SPACE 
catalytic, ADJ 
cycle, NOUN 
lowering, VERB 
risk, NOUN 
reactions, NOUN 

, SPACE 
coordinatively, ADV 
unsaturated, ADJ 
species, NOUN 
forcing, VERB 

, SPACE 
metal, NOUN 
center, NOUN 
macrocycle, NOUN 

, SPACE 
N, PROPN 
CH, PROPN 
3, NUM 
groups, NOUN 
interact, VERB 
incoming, ADJ 
sub-, NOUN 

, SPACE 
strate, NOUN 
resulting, VERB 
preorganisation, NOUN 
associa-, ADJ 

, SPACE 
tion, NOUN 
step, NOUN 
oxidative, ADJ 
addition, NOUN 
place, NOUN 

, SPACE 
2, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
2.1, NUM 
Synthesis, NOUN 
ligands, NOUN 
~'onq, NUM 
h'.ws, PROPN 

, SPACE 
Macrocycles, PROPN 
10, NUM 
11, NUM 
phosphorus, NOUN 
nitrogen, NOUN 

, SPACE 
donor, NOUN 
atoms, NOUN 
prepared, VERB 
dibrornides, NOUN 
8, NUM 
9, NUM 
7, NUM 


, SPACE 
168, NUM 

, SPACE 
0~, PROPN 

, SPACE 
S1.1, PROPN 
161, NUM 
Iz-, PROPN 

, SPACE 
~ieps, X 
M., PROPN 
Widhalm, PROPN 
ct, INTJ 
at./Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
523, NUM 
1996, NUM 
167, NUM 
178, NUM 

, SPACE 
10,11, NUM 

, SPACE 
S),/, NOUN 
n, NUM 
~, SYM 
2, NUM 
3, NUM 
~, PUNCT 
¢, PROPN 

, SPACE 
THF, PROPN 
n=2, PRON 

, SPACE 
3, NUM 

, SPACE 
4, NUM 
4A, PROPN 

, SPACE 
S, PROPN 
5A, PROPN 

, SPACE 
6, NUM 
6A, NOUN 

, SPACE 
~,,d, PROPN 
c, NOUN 
O, INTJ 

, SPACE 
n~2, NUM 
t0A, NUM 
n~2, NUM 
10B, NUM 

, SPACE 
~i, PUNCT 
IIA, PROPN 

, SPACE 
Scheme, PROPN 

, SPACE 
respectively, ADV 
yielded, VERB 
single, ADJ 
diastereoisomer, NOUN 

, SPACE 
Ct, PROPN 
symmetry, NOUN 
IIA, PROPN 
mixture, NOUN 
diastereoiso-, NOUN 

, SPACE 
mers, NOUN 
wer¢, NOUN 
separated, VERB 
deactivated, PROPN 
silica, PROPN 
gel, PROPN 
7, X 

, SPACE 
10A, NUM 
10B, NUM 
ligands, NOUN 
proved, VERB 
sufficiently, ADV 

, SPACE 
stable, ADJ 
enable, VERB 
purification, NOUN 
handling, NOUN 
air, NOUN 

, SPACE 
precautions, NOUN 
Enantiopure, NOUN 
samples, NOUN 
macro, NOUN 
°, NOUN 

, SPACE 
cycles, NOUN 
w, VERB 
~, NOUN 
prepared, VERB 
optically, ADV 
active, ADJ 
precursor, NOUN 

, SPACE 
~, PROPN 
XS)o, PROPN 
way, NOUN 

, SPACE 
C, PROPN 
tosymmetrical, ADJ 
ligands, NOUN 
nickel(li, PROPN 
complexes, NOUN 

, SPACE 
wore, VERB 
isolated, ADJ 
Treatment, PROPN 
10A, NUM 
llA, NOUN 
NiCl, PROPN 

, SPACE 
afforded, VERB 
orange, ADJ 
brown, ADJ 
crystalline, NOUN 
products, NOUN 
com-, NOUN 

, SPACE 
plexes, NOUN 
showed, VERB 
similar, ADJ 
NMR, PROPN 
spectra, NOUN 

, SPACE 
IIA, PROPN 
NiCl, PROPN 
X, NOUN 
ray, NOUN 
structure, NOUN 
analysis, NOUN 

, SPACE 
obtained, VERB 
revealed, VERB 
slightly, ADV 
distorted, ADJ 
squar¢-, ADJ 

, SPACE 
planar, PROPN 
complex, NOUN 
geomett, PROPN 
T, PROPN 
coordination, NOUN 
nitro-, PROPN 

, SPACE 
gen, PROPN 
atoms, NOUN 
Accordingly, ADV 
assume, VERB 

, SPACE 
exclusive, ADJ 
pred~:.~inant, ADJ 
operation, NOUN 
P, NOUN 
P, NOUN 

, SPACE 
coordinated, VERB 
complex, NOUN 
IIA, PROPN 
catalysis, NOUN 

, SPACE 
ca~, PROPN 
10A., PROPN 
NiCI, PROPN 
presumable, ADJ 
P, NOUN 
~, PUNCT 
P, NOUN 

, SPACE 
coordinated, VERB 
nickel, NOUN 
complex, NOUN 
