Corrosion, PROPN 
Science, PROPN 
Vol, PROPN 
38, NUM 
9, NUM 
pp, PROPN 
1579, NUM 
1594, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
Q, PROPN 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0010, NUM 
938X/96, NOUN 
$, SYM 
lS.OO+O.OO, PROPN 

, SPACE 
PII, PROPN 
SOOlO-938X(96)00053, NUM 
4, NUM 

, SPACE 
MICRODISSOLUTION, NOUN 
CALCIUM, NOUN 
IONS, NOUN 
CALCIUM-, NOUN 

, SPACE 
ION, PROPN 
IMPLANTED, PROPN 
TITANIUM, PROPN 

, SPACE 
T., PROPN 
HANAWA, PROPN 
K., PROPN 
ASAMI, PROPN 
K., PROPN 
ASAOKA, PROPN 

, SPACE 
Department, PROPN 
Dental, PROPN 
Engineering, PROPN 
Tokushima, PROPN 
University, PROPN 
School, PROPN 
Dentistry, PROPN 
3, NUM 
18, NUM 
l, NOUN 
5, NUM 
Kuramoto, PROPN 
cho, PROPN 
Tokushima, PROPN 

, SPACE 
770, NUM 
Japan, PROPN 

, SPACE 
Laboratory, PROPN 
Developmental, PROPN 
Research, PROPN 
Advanced, PROPN 
Materials, PROPN 
Institute, PROPN 
Materials, PROPN 
Research, PROPN 
Tohoku, PROPN 

, SPACE 
University, PROPN 
2, NUM 
l-1, NUM 
Katahira, PROPN 
Aoba, PROPN 
ku, PROPN 
Sendai, PROPN 
980, NUM 
Japan, PROPN 

, SPACE 
Abstract, PROPN 
Microdissolution, PROPN 
calcium, NOUN 
ions, NOUN 
calcium, NOUN 
ion, NOUN 
implanted, VERB 
titanium, NOUN 
nitric, ADJ 
acid, NOUN 
solutions, NOUN 

, SPACE 
pH, NUM 
-0.99, NUM 
0, NUM 
1, NUM 
2, NUM 
phosphatecitric, ADJ 
acid, NOUN 
buffers, NOUN 
pH, NUM 
5.2, NUM 
7.2, NUM 
310, NUM 
K, NOUN 
103, NUM 
5x, NUM 
10, NUM 

, SPACE 
characterized, VERB 
X, NOUN 
ray, NOUN 
photo, NOUN 
electron, NOUN 
spectroscopy, NOUN 
result, NOUN 
surface, NOUN 
oxides, VERB 
calcium, NOUN 
found, VERB 

, SPACE 
dissolve, VERB 
solutions, NOUN 
Oxygen, NOUN 
decreased, VERB 
titanium, NOUN 
increased, VERB 
surface, NOUN 
oxide, NOUN 
according, VERB 
dissolution, NOUN 

, SPACE 
addition, NOUN 
hydroxyl, PROPN 
radicals, NOUN 
decreased, VERB 
number, NOUN 
proportion, NOUN 
TI, PROPN 
4c, NOUN 
titanium, NOUN 
increased, VERB 
Core, NOUN 
level, NOUN 

, SPACE 
binding, VERB 
energies, NOUN 
calcium, NOUN 
titanium, NOUN 
originating, VERB 
Ti4, NOUN 
+, ADV 
decreased, VERB 
dissolution, NOUN 
changes, NOUN 

, SPACE 
caused, VERB 
transformation, NOUN 
surface, NOUN 
oxide, NOUN 
according, VERB 
dissolution, NOUN 
Calcium, NOUN 
dissolved, VERB 

, SPACE 
consequently, ADV 
surface, NOUN 
oxide, NOUN 
titanium, NOUN 
oxide, NOUN 
feasible, ADJ 
estimate, VERB 
microdissolution, NOUN 
element, NOUN 

, SPACE 
materials, NOUN 
surface, NOUN 
analysis, NOUN 
techniques, NOUN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
INTRODUCTION, NOUN 

, SPACE 
Titanium, PROPN 
implanted, VERB 
calcium, NOUN 
ions, NOUN 
acceleration, NOUN 
energy, NOUN 
18, NUM 
keV, NOUN 
useful, ADJ 

, SPACE 
properties, NOUN 
biomaterial, NOUN 
Calcium, NOUN 
phosphate, ADJ 
precipitation, NOUN 
titanium, NOUN 
electrolyte, NOUN 

, SPACE 
tremendously, ADV 
accelerated, VERB 
calcium, NOUN 
ion, NOUN 
implantation, NOUN 
phenomenon, NOUN 

, SPACE 
observed, VERB 
calcium, NOUN 
ion, NOUN 
implanted, VERB 
titanium, NOUN 
retrieved, VERB 
canine, NOUN 
femur.2, NOUN 
addition, NOUN 

, SPACE 
osteogenic, ADJ 
cells, NOUN 
titanium, NOUN 
activated, VERB 
formation, NOUN 
osteoid, ADJ 
tissue, NOUN 
cells, NOUN 

, SPACE 
accelerated, VERB 
calcium, NOUN 
ions, NOUN 
