Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
274, NUM 
277, NUM 

, SPACE 
ELSEVIER, NOUN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, NOUN 
6, NUM 
Atoms, NOUN 

, SPACE 
Comparison, PROPN 
elastic, ADJ 
resonance, NOUN 
elastic, ADJ 
recoil, NOUN 
detection, NOUN 

, SPACE 
quantification, NOUN 
carbon, NOUN 
SiGeC, PROPN 

, SPACE 
A.E., PROPN 
Bair, PROPN 
Z., PROPN 
Atzmon, PROPN 
S.W., PROPN 
Russell, PROPN 
J.C., PROPN 
Barbour, PROPN 
T.L., PROPN 
Alford, PROPN 
J.W., PROPN 
Mayer, PROPN 
b, PROPN 

, SPACE 
Department, PROPN 
Chemical, PROPN 
Bio, PROPN 
Materials, PROPN 
Engineering, PROPN 
Arizona, PROPN 
State, PROPN 
University, PROPN 
Tempe, PROPN 
AZ, PROPN 
85287, NUM 
6006, NUM 
USA, PROPN 

, SPACE 
b, PROPN 
Center, PROPN 
Solid, PROPN 
State, PROPN 
Science, PROPN 
Arizona, PROPN 
State, PROPN 
University, PROPN 
Tempe, PROPN 
AZ, PROPN 
852874006, NUM 
USA, PROPN 

, SPACE 
Sandia, PROPN 
National, PROPN 
Laboratories, PROPN 
Albuquerque, PROPN 
NM, PROPN 
871851056, NUM 
USA, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
carbon, NOUN 
concentrations, NOUN 
chemical, NOUN 
vapor, NOUN 
deposition, NOUN 
grown, VERB 
Si, PROPN 
._,Ge, PROPN 
C, PROPN 
y, PROPN 
0.25, NUM 
<, X 
x, SYM 
<, X 
0.37, NUM 
0.01, NUM 
<, X 
~0.12, PUNCT 
layers, VERB 

, SPACE 
100, NUM 
Si, PROPN 
uniform, ADJ 
composition, NOUN 
profiles, NOUN 
quantified, VERB 
ion, NOUN 
analysis, NOUN 
techniques, NOUN 
Measurements, NOUN 

, SPACE 
backscattering, VERB 
spectrometry, NOUN 
4.295, NUM 
MeV, PROPN 
He’+, PROPN 
incident, PROPN 
ion, NOUN 
compared, VERB 
compositions, NOUN 
predicted, VERB 
elastic, ADJ 

, SPACE 
recoil, NOUN 
detection, NOUN 
ERD, PROPN 
24, NUM 
MeV, PROPN 
Si, PROPN 
5c, PROPN 
incident, NOUN 
ion, NOUN 
enhance, VERB 
carbon, NOUN 
scattering, VERB 
cross, NOUN 
section, NOUN 

, SPACE 
backscattering, NOUN 
measurements, NOUN 
4.265, NUM 
MeV, NOUN 
C(a, PROPN 
a)i2C, NOUN 
elastic, ADJ 
